gameId,trialNum,condition,chatEnabled,playerId,name,text,participantAction,roundID,index,createdAt,repNum,blockNum,numPlayers,type,submitted,playerResponse,playerUtility
woWsWsG64iWMYwDus,0,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_1 for 5 point(s),uZ4KhG8JweH9Nv8Sf,0,2021-07-19T18:08:12Z,0,0,3,alert,FALSE,red_1,5
woWsWsG64iWMYwDus,0,competCartel,true,YyHKq9EYbJumA3ANL,Repi,ill have the pink with yellow tips,NA,uZ4KhG8JweH9Nv8Sf,0,2021-07-19T18:08:12Z,0,0,3,message,FALSE,red_12,2
woWsWsG64iWMYwDus,0,competCartel,true,YyHKq9EYbJumA3ANL,Repi,NA,Repi selected red_12 for 2 point(s),uZ4KhG8JweH9Nv8Sf,0,2021-07-19T18:08:12Z,0,0,3,alert,FALSE,red_12,2
woWsWsG64iWMYwDus,0,competCartel,true,n9GBgFk6Hxa9zipd7,Minu,NA,Minu selected red_1 for 5 point(s),uZ4KhG8JweH9Nv8Sf,0,2021-07-19T18:08:12Z,0,0,3,alert,FALSE,red_1,5
woWsWsG64iWMYwDus,1,competCartel,true,YyHKq9EYbJumA3ANL,Repi,NA,Repi selected red_7 for 4 point(s),sHgip7AmTgXmk5MTj,1,2021-07-19T18:08:12Z,1,0,3,alert,FALSE,red_7,4
woWsWsG64iWMYwDus,1,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,i'll take the red and yellow,NA,sHgip7AmTgXmk5MTj,1,2021-07-19T18:08:12Z,1,0,3,message,FALSE,red_9,12
woWsWsG64iWMYwDus,1,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_9 for 12 point(s),sHgip7AmTgXmk5MTj,1,2021-07-19T18:08:12Z,1,0,3,alert,FALSE,red_9,12
woWsWsG64iWMYwDus,1,competCartel,true,n9GBgFk6Hxa9zipd7,Minu,NA,Minu selected red_3 for 11 point(s),sHgip7AmTgXmk5MTj,1,2021-07-19T18:08:12Z,1,0,3,alert,FALSE,red_3,11
woWsWsG64iWMYwDus,2,competCartel,true,YyHKq9EYbJumA3ANL,Repi,NA,Repi selected red_2 for 5 point(s),5T2LZr4rmxKBsMv6S,2,2021-07-19T18:08:12Z,2,0,3,alert,FALSE,red_2,5
woWsWsG64iWMYwDus,2,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_11 for 12 point(s),5T2LZr4rmxKBsMv6S,2,2021-07-19T18:08:12Z,2,0,3,alert,FALSE,red_11,12
woWsWsG64iWMYwDus,2,competCartel,true,n9GBgFk6Hxa9zipd7,Minu,NA,Minu selected red_4 for 9 point(s),5T2LZr4rmxKBsMv6S,2,2021-07-19T18:08:12Z,2,0,3,alert,FALSE,red_4,9
woWsWsG64iWMYwDus,3,competCartel,true,YyHKq9EYbJumA3ANL,Repi,NA,Repi selected red_10 for 3 point(s),u4Bh7dwq6MtqCrPbA,3,2021-07-19T18:08:12Z,3,0,3,alert,FALSE,red_10,3
woWsWsG64iWMYwDus,3,competCartel,true,n9GBgFk6Hxa9zipd7,Minu,NA,Minu selected red_3 for 5.5 point(s),u4Bh7dwq6MtqCrPbA,3,2021-07-19T18:08:12Z,3,0,3,alert,FALSE,red_3,5.5
woWsWsG64iWMYwDus,3,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_3 for 5.5 point(s),u4Bh7dwq6MtqCrPbA,3,2021-07-19T18:08:12Z,3,0,3,alert,FALSE,red_3,5.5
woWsWsG64iWMYwDus,4,competCartel,true,YyHKq9EYbJumA3ANL,Repi,NA,Repi selected red_8 for 4.5 point(s),tGLScBimxiSZXivdx,4,2021-07-19T18:08:12Z,4,0,3,alert,FALSE,red_8,4.5
woWsWsG64iWMYwDus,4,competCartel,true,n9GBgFk6Hxa9zipd7,Minu,NA,Minu selected red_8 for 4.5 point(s),tGLScBimxiSZXivdx,4,2021-07-19T18:08:12Z,4,0,3,alert,FALSE,red_8,4.5
woWsWsG64iWMYwDus,4,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_1 for 12 point(s),tGLScBimxiSZXivdx,4,2021-07-19T18:08:12Z,4,0,3,alert,FALSE,red_1,12
woWsWsG64iWMYwDus,5,competCartel,true,YyHKq9EYbJumA3ANL,Repi,NA,Repi selected red_7 for 5 point(s),sfd8aMEMXdhJJX5yL,5,2021-07-19T18:08:12Z,5,0,3,alert,FALSE,red_7,5
woWsWsG64iWMYwDus,5,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_10 for 9 point(s),sfd8aMEMXdhJJX5yL,5,2021-07-19T18:08:12Z,5,0,3,alert,FALSE,red_10,9
woWsWsG64iWMYwDus,5,competCartel,true,n9GBgFk6Hxa9zipd7,Minu,NA,Minu selected red_3 for 7 point(s),sfd8aMEMXdhJJX5yL,5,2021-07-19T18:08:12Z,5,0,3,alert,FALSE,red_3,7
woWsWsG64iWMYwDus,6,competCartel,true,qNNHZG4JCrXM4zqZq,Laju,NA,Laju selected red_10 for 12 point(s),jYj3mkvz6qtKvGDPu,6,2021-07-19T18:08:12Z,6,0,3,alert,FALSE,red_10,12
