playerId,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,name,avatar,nameColor,bonus,clicked,timeClick,imageOrder,scoreIncrement,clickLength,rawScore,exitTimeoutId,exited
YrTqDhJdpFKnizeLf,NA,2021-07-23T16:39:56Z,2021-07-23T16:39:56Z,1,ExitSurvey,2021-07-23T16:49:41Z,finished,NA,NA,NA,2021-07-23T16:33:15Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.173333333333336,white_12,5732,"white_2,white_3,white_11,white_4,white_12,white_7",0.2066666666666667,3,10.333333333333334,NA,NA
uDAioMYbGQ5g7t9Dm,NA,2021-07-23T16:39:57Z,2021-07-23T16:39:57Z,1,ExitSurvey,2021-07-23T16:49:41Z,finished,NA,NA,NA,2021-07-23T16:33:27Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.173333333333336,white_3,3353,"white_2,white_11,white_12,white_7,white_4,white_3",0.2066666666666667,3,10.333333333333334,NA,NA
3rWCy7R4rhEYqEk6m,NA,2021-07-23T16:41:51Z,2021-07-23T16:41:51Z,1,ExitSurvey,2021-07-23T16:49:32Z,finished,NA,NA,NA,2021-07-23T16:34:23Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.8866666666666685,white_6,573,"white_12,white_4,white_7,white_8,white_11,white_6",0.08666666666666666,2,4.333333333333333,NA,NA
NAXNzn8WaxEoqRmJj,NA,2021-07-23T16:42:02Z,2021-07-23T16:42:02Z,1,ExitSurvey,2021-07-23T16:49:32Z,finished,NA,NA,NA,2021-07-23T16:37:32Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.8866666666666685,white_4,1073,"white_7,white_4,white_8,white_11,white_6,white_12",0.08666666666666666,2,4.333333333333333,NA,NA
RF8TuBnN6m5LLEwgY,NA,2021-07-23T16:42:14Z,2021-07-23T16:42:14Z,1,ExitSurvey,2021-07-23T16:49:32Z,finished,NA,NA,NA,2021-07-23T16:38:50Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.8866666666666685,white_6,3902,"white_4,white_6,white_7,white_8,white_11,white_12",0.08666666666666666,2,4.333333333333333,NA,NA
ognjrmeJqSCrt7GNp,NA,2021-07-23T16:44:39Z,2021-07-23T16:44:39Z,1,ExitSurvey,2021-07-23T16:54:58Z,finished,NA,NA,NA,2021-07-23T16:38:52Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.666666666666665,white_7,1602,"white_11,white_7,white_1,white_4,white_12,white_5",0.12,2,6,NA,NA
BEQuey8MKeqnCcPBS,NA,2021-07-23T16:43:56Z,2021-07-23T16:43:56Z,1,"Sorry,ExitSurvey",2021-07-23T17:07:05Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:38:55Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0,false,NA,"white_6,white_11,white_8,white_3,white_9,white_4",NA,NA,NA,NA,NA
hPkBZGZAEm2Gfikdo,NA,2021-07-23T16:46:21Z,2021-07-23T16:46:21Z,1,ExitSurvey,2021-07-23T16:54:58Z,finished,NA,NA,NA,2021-07-23T16:38:58Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.666666666666665,white_4,4417,"white_5,white_11,white_12,white_4,white_7,white_1",0.12,2,6,NA,NA
ADXciqEZpskpLa4pY,NA,2021-07-23T16:41:07Z,2021-07-23T16:41:07Z,1,ExitSurvey,2021-07-23T16:49:41Z,finished,NA,NA,NA,2021-07-23T16:38:59Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.173333333333336,white_2,1690,"white_4,white_2,white_12,white_3,white_11,white_7",0.2066666666666667,3,10.333333333333334,NA,NA
E75Bg7aTEPrNXuo8B,NA,2021-07-23T16:47:48Z,2021-07-23T16:47:48Z,1,"Sorry,ExitSurvey",2021-07-23T16:53:12Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:40:01Z,Repi,/avatars/jdenticon/Samuel,#8138A8,1.2666666666666666,yellow_5,-8519,"yellow_6,yellow_2,yellow_12,yellow_7,yellow_4,yellow_5",0.12666666666666665,2,6.333333333333333,8713,TRUE
