_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
MjSgRfoSDXn5kWJgN,GnFQtx3d8goxbppug,TkAYES9iNiAnFtJFM,2021-08-20T19:07:03Z,037,female,English,true,,,,,,bachelor,yes,no,neutral,Yes,No,Yes,,,4,4,4,4
mjWRzbhabv6STS6ZX,DcFGZXX2uqjnZ2g8i,TkAYES9iNiAnFtJFM,2021-08-20T19:07:46Z,35,Male,English,true,,,,,,someCollege,yes,yes,disagree,Yeah,None,"Yeah, more than enough",,,3,4,1,1
6mWML3ZewdZWZKYKc,ayoSwSqwEGhdMPzKP,YQjzeQBYnWzMTSx3o,2021-08-20T19:08:43Z,20,Female,English,true,,,,,,someCollege,yes,no,neutral,yes,no,yes,,,4,4,7,7
EpmRpSgXwizKTzDei,vTxzBRyWQMW92FNuL,T7Pb2SjMb6HmQE2FC,2021-08-20T19:09:49Z,22,Female,English,true,,,,,,bachelor,yes,yes,agree,Yes,,"Yes, more than enough",,,6,6,7,7
rZg8SNEj7K4T6Zzod,3qkYYqkffyCP6eXBr,ZLTdtZohjzacKrzwi,2021-08-20T19:10:03Z,19,Male,English,true,,,,,,highSchool,yes,yes,agree,Yes ,no,Yes there was a lot more than enough time.,,,5,5,2,2
H49ZovGmcxnCmP3CN,fRunndidTECXQDY2T,dcDzPNFskQjTjHmmj,2021-08-20T19:10:06Z,,,,true,,,,,,bachelor,yes,no,agree,yes,no,yes,,,4,4,4,4
RZxdgMichXBuBYXyz,2AJseKMndxJnYJgHW,T7Pb2SjMb6HmQE2FC,2021-08-20T19:10:16Z,31,Female,English,true,,,,,,master,yes,yes,neutral,"Yes, though it all happened so fast - I felt like I couldn't strategize like I would have wanted to, even though I recognize I probably couldn't have strategized with something so random. :) ",Thank you for allowing me to participate -- good luck! ,"No, not at all! ",,,6,6,3,4
GkLecXc9skzAcDHA3,X86yAP27wJbYducqQ,ZLTdtZohjzacKrzwi,2021-08-20T19:10:24Z,19,woman,English,true,,,,,,someCollege,yes,no,agree,yes,no,absolutely,,,6,6,6,6
ojQHxqrtEgNjvfug6,GZf3sgPEDZRPBAq2g,YQjzeQBYnWzMTSx3o,2021-08-20T19:10:37Z,25,Female,English,true,,,,,,master,yes,yes,disagree,Yes payment was very fair.,"No, everything went well.",Yes more than enough time.,,,5,4,6,2
PBSAMNHAvx2MMajHb,pKp4apB64GSFYwhYq,T7Pb2SjMb6HmQE2FC,2021-08-20T19:10:37Z,27,male,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes, the pay was very fair.",Nope.,"Yes, three minutes was sufficient time in order to complete the task",,,7,7,7,7
iQnM6FHYB43aL335j,EzjNcKdaF8rEss7Zv,ZLTdtZohjzacKrzwi,2021-08-20T19:10:38Z,23,female,english,,,,,,true,bachelor,yes,yes,agree,yes,no,"yes, plenty",,,7,7,7,7
R4FFiJNJf3cuFZ22g,85kpNkvhJAxZ9pTGr,dcDzPNFskQjTjHmmj,2021-08-20T19:11:09Z,23,female,english,,,,,,true,someCollege,yes,yes,neutral,Yes,No.,Yes,,,7,7,7,7
