_id,index,stageIds,gameId,createdAt,data.context,data.repNum,data.blockNum,data.trialNum,data.numPlayers,data.chat,data.submitted,data.player_DcFGZXX2uqjnZ2g8i_response,data.player_DcFGZXX2uqjnZ2g8i_time,data.player_DcFGZXX2uqjnZ2g8i_utility,data.player_GnFQtx3d8goxbppug_response,data.player_GnFQtx3d8goxbppug_time,data.player_GnFQtx3d8goxbppug_utility,data.player_h3BnPjtKpH25c4rJJ_response,data.player_h3BnPjtKpH25c4rJJ_time,data.player_h3BnPjtKpH25c4rJJ_utility,data.player_DBPYotG84twbs28cA_response,data.player_DBPYotG84twbs28cA_time,data.player_DBPYotG84twbs28cA_utility,data.player_GZf3sgPEDZRPBAq2g_response,data.player_GZf3sgPEDZRPBAq2g_time,data.player_GZf3sgPEDZRPBAq2g_utility,data.player_ayoSwSqwEGhdMPzKP_response,data.player_ayoSwSqwEGhdMPzKP_time,data.player_ayoSwSqwEGhdMPzKP_utility,data.player_KxzkpXKp3QQLfJP9w_response,data.player_KxzkpXKp3QQLfJP9w_time,data.player_KxzkpXKp3QQLfJP9w_utility,data.player_nQfzn97DdvTS7tsty_response,data.player_nQfzn97DdvTS7tsty_time,data.player_nQfzn97DdvTS7tsty_utility,data.player_peki9E7atEoKbfMWL_response,data.player_peki9E7atEoKbfMWL_time,data.player_peki9E7atEoKbfMWL_utility,data.player_3qkYYqkffyCP6eXBr_response,data.player_3qkYYqkffyCP6eXBr_time,data.player_3qkYYqkffyCP6eXBr_utility,data.player_EzjNcKdaF8rEss7Zv_response,data.player_EzjNcKdaF8rEss7Zv_time,data.player_EzjNcKdaF8rEss7Zv_utility,data.player_X86yAP27wJbYducqQ_response,data.player_X86yAP27wJbYducqQ_time,data.player_X86yAP27wJbYducqQ_utility,data.player_2AJseKMndxJnYJgHW_response,data.player_2AJseKMndxJnYJgHW_time,data.player_2AJseKMndxJnYJgHW_utility,data.player_pKp4apB64GSFYwhYq_response,data.player_pKp4apB64GSFYwhYq_time,data.player_pKp4apB64GSFYwhYq_utility,data.player_vTxzBRyWQMW92FNuL_response,data.player_vTxzBRyWQMW92FNuL_time,data.player_vTxzBRyWQMW92FNuL_utility,data.player_LKcz3u3hXKh6DWA8X_response,data.player_LKcz3u3hXKh6DWA8X_time,data.player_LKcz3u3hXKh6DWA8X_utility,data.player_XxGsq9a7QAZzTLn3C_response,data.player_XxGsq9a7QAZzTLn3C_time,data.player_XxGsq9a7QAZzTLn3C_utility,data.player_crS7fos5rMRKue3MJ_response,data.player_crS7fos5rMRKue3MJ_time,data.player_crS7fos5rMRKue3MJ_utility,data.player_44NPsFeeBd4vCXTKd_response,data.player_44NPsFeeBd4vCXTKd_time,data.player_44NPsFeeBd4vCXTKd_utility,data.player_85kpNkvhJAxZ9pTGr_response,data.player_85kpNkvhJAxZ9pTGr_time,data.player_85kpNkvhJAxZ9pTGr_utility,data.player_fRunndidTECXQDY2T_response,data.player_fRunndidTECXQDY2T_time,data.player_fRunndidTECXQDY2T_utility,data.player_383mdenaHN6Aus3St_response,data.player_383mdenaHN6Aus3St_time,data.player_383mdenaHN6Aus3St_utility,data.player_ecK2h4KP26SDj2pSZ_response,data.player_ecK2h4KP26SDj2pSZ_time,data.player_ecK2h4KP26SDj2pSZ_utility,data.player_jqTqgm9cDjDAZbNgm_response,data.player_jqTqgm9cDjDAZbNgm_time,data.player_jqTqgm9cDjDAZbNgm_utility,data.player_SmzfzMR63pgjFphap_response,data.player_SmzfzMR63pgjFphap_time,data.player_SmzfzMR63pgjFphap_utility,data.player_pdW4RbKqxNKjRYBbB_response,data.player_pdW4RbKqxNKjRYBbB_time,data.player_pdW4RbKqxNKjRYBbB_utility,data.player_teb4REqBrQGxfc6rL_response,data.player_teb4REqBrQGxfc6rL_time,data.player_teb4REqBrQGxfc6rL_utility,data.player_8HwktFXyNF6iFJLCm_response,data.player_8HwktFXyNF6iFJLCm_time,data.player_8HwktFXyNF6iFJLCm_utility,data.player_Ytje2QHEbkHRTjguF_response,data.player_Ytje2QHEbkHRTjguF_time,data.player_Ytje2QHEbkHRTjguF_utility,data.player_zjzAXhKpQGgJSzWoH_response,data.player_zjzAXhKpQGgJSzWoH_time,data.player_zjzAXhKpQGgJSzWoH_utility,data.player_4S7LxExG3gRWyaLP6_response,data.player_4S7LxExG3gRWyaLP6_time,data.player_4S7LxExG3gRWyaLP6_utility,data.player_WjfNL6QovY7HP3RoM_response,data.player_WjfNL6QovY7HP3RoM_time,data.player_WjfNL6QovY7HP3RoM_utility,data.player_zmPtgNPtx73XMyCQf_response,data.player_zmPtgNPtx73XMyCQf_time,data.player_zmPtgNPtx73XMyCQf_utility,data.player_BNgEsca4w2e7tPEyp_response,data.player_BNgEsca4w2e7tPEyp_time,data.player_BNgEsca4w2e7tPEyp_utility,data.player_CvuWNByrnNe9BfBgK_response,data.player_CvuWNByrnNe9BfBgK_time,data.player_CvuWNByrnNe9BfBgK_utility,data.player_c5kxnbQPFNfBQHf7a_response,data.player_c5kxnbQPFNfBQHf7a_time,data.player_c5kxnbQPFNfBQHf7a_utility,data.player_5spsciHvJWK9Ce7aG_response,data.player_5spsciHvJWK9Ce7aG_time,data.player_5spsciHvJWK9Ce7aG_utility,data.player_LTvCaj4BhMws6MSQL_response,data.player_LTvCaj4BhMws6MSQL_time,data.player_LTvCaj4BhMws6MSQL_utility,data.player_ph3jbF9KXu4EvgzjJ_response,data.player_ph3jbF9KXu4EvgzjJ_time,data.player_ph3jbF9KXu4EvgzjJ_utility,data.player_7rnuZWGmiFrLQct4J_response,data.player_7rnuZWGmiFrLQct4J_time,data.player_7rnuZWGmiFrLQct4J_utility,data.player_jfcNgFomXZXzLQRBe_response,data.player_jfcNgFomXZXzLQRBe_time,data.player_jfcNgFomXZXzLQRBe_utility,data.player_oohs6BwF7DckyHYRj_response,data.player_oohs6BwF7DckyHYRj_time,data.player_oohs6BwF7DckyHYRj_utility,data.player_8zn83WbR6AuaGsfH4_response,data.player_8zn83WbR6AuaGsfH4_time,data.player_8zn83WbR6AuaGsfH4_utility,data.player_Kr4qHukT5FG3G2xb2_response,data.player_Kr4qHukT5FG3G2xb2_time,data.player_Kr4qHukT5FG3G2xb2_utility,data.player_a2q3a5NZ2YSdAoQgG_response,data.player_a2q3a5NZ2YSdAoQgG_time,data.player_a2q3a5NZ2YSdAoQgG_utility
ipQdvfcJqHCtdwiZQ,0,"x3DZmRb5jRiNz2Ww5,yb82GQF82ZwnLcJof",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_10"":{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_5"":{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_12"":{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",0,0,0,3,"{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486121981},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486125087},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486131871}",false,white_3,14151,9,white_5,7370,2,white_5,4259,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6oeYewcDC3DnvdTG,1,"LzgvTCs2D8nsujxeJ,icBEC2qRov7iirQDq",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_2"":{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_4"":{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",1,0,1,3,"{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486140107},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486142492},{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486143188}",false,white_3,4674,2,white_9,2292,8,white_3,5370,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDNDjGeugvHyuq7ff,2,"QBGMSjgjM4XYyy8iJ,h6o4NvrsfwpecT7jY",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_12"":{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_5"":{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_7"":{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_10"":{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_11"":{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",2,0,2,3,"{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486151750},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486151491},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486151848}",false,white_11,3012,9,white_7,2657,2,white_7,2913,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vj2oRy6LXGncvLpSn,3,"j6fNW98iNcc9ccxfQ,vtKMjDaokzhSGSubK",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_5"":{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_10"":{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_6"":{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_2"":{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",3,0,3,3,"{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486159867},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486160403},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486160933}",false,white_6,2567,4,white_5,3097,6,white_3,2029,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpJJZL5zYq6XwfcHL,4,"2vcHYSETfoHoBxTv9,wKSNsj6QTCFgnNugi",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_11"":{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_5"":{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_6"":{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",4,0,4,3,"{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486169632},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486169559},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486171056}",false,white_1,1707,9,white_11,3205,8,white_8,1777,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DisF8YJpwfEp96pHE,5,"t7L85PFnT5YXz3AB7,ZAqELpYsoofQehwSx",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_4"":{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_6"":{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",5,0,5,3,"{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486179904},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486180027},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486180421}",false,white_8,2157,8,white_3,2553,1,white_1,2033,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fT5xj8gP2h3kjRN3q,6,"8eNzJt3bgZEuF3qut,nLH6nsZajf9jYEodF",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_4"":{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_6"":{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_5"":{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",0,1,6,3,"{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486187973},{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486188786},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486190729}",false,white_3,1028,2,white_3,3788,2,white_6,1843,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLfNsX46ZipD94Lga,7,"mERwSe7MXCWN5rKvh,Z8g4CqMdBNqKZaQxj",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_7"":{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_5"":{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",1,1,7,3,"{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486198757},{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486200465},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486202175}",false,white_5,908,2,white_1,4328,5,white_5,2615,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qSujCX5pHj5aN8XcQ,8,"mwR9rYbA6c23yhScn,4T7Bq9B9pFH4BdXmt",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_3"":{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_4"":{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_6"":{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_8"":{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",2,1,8,3,"{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486210078},{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486210508},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486210602}",false,white_1,1217,11,white_9,1743,9,white_4,1643,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaJW2pnANiTEK9Shq,9,"4dfJXcYLKJ6w9qgBD,d7FeZyD96J9kn8eAq",TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""white_7"":{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_9"":{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_12"":{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""h3BnPjtKpH25c4rJJ""},""white_4"":{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""DcFGZXX2uqjnZ2g8i""},""white_2"":{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""GnFQtx3d8goxbppug""},""white_1"":{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""h3BnPjtKpH25c4rJJ""}}",3,1,9,3,"{""text"":null,""playerId"":""h3BnPjtKpH25c4rJJ"",""type"":""selectionAlert"",""time"":1629486218543},{""text"":null,""playerId"":""DcFGZXX2uqjnZ2g8i"",""type"":""selectionAlert"",""time"":1629486218534},{""text"":null,""playerId"":""GnFQtx3d8goxbppug"",""type"":""selectionAlert"",""time"":1629486218697}",false,white_12,1651,2,white_12,1817,2,white_4,1660,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
