gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
B5SFfZ9rHwth8oHNn,2021-08-19T19:41:23Z,37,male,English,TRUE,NA,NA,NA,NA,NA,master
PZY4jHbHmRcFDbKFb,2021-08-19T19:41:39Z,58,male,English,TRUE,NA,NA,NA,NA,NA,master
n7EdiTEdffTm64G3T,2021-08-19T19:41:43Z,20,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
DTw5mrEvPvfyuEiGw,2021-08-19T19:42:19Z,22,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
DTw5mrEvPvfyuEiGw,2021-08-19T19:42:23Z,19,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
qHE49yN9TGZFDaP6F,2021-08-19T19:43:55Z,28,Female,English,TRUE,NA,NA,NA,NA,NA,master
YGABm7kTsNdSBHTWW,2021-08-19T19:45:13Z,27,Femaile,English,TRUE,NA,NA,NA,NA,NA,bachelor
YGABm7kTsNdSBHTWW,2021-08-19T19:45:24Z,31,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
YGABm7kTsNdSBHTWW,2021-08-19T19:45:36Z,37,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
qHE49yN9TGZFDaP6F,2021-08-19T19:46:56Z,50,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
qHE49yN9TGZFDaP6F,2021-08-19T19:50:12Z,26,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
8dDG6frr5JfsMjmTD,2021-08-19T20:01:16Z,19,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
8dDG6frr5JfsMjmTD,2021-08-19T20:01:17Z,50,male,English,TRUE,NA,NA,NA,NA,NA,someCollege
8dDG6frr5JfsMjmTD,2021-08-19T20:02:01Z,27,Femal,English,NA,TRUE,NA,NA,NA,NA,someCollege
M8ouHRoCWgHhnZBDW,2021-08-19T20:16:30Z,35,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
M8ouHRoCWgHhnZBDW,2021-08-19T20:16:40Z,28,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
