_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
mxFSxWpvYBhRRrnd3,,2021-07-02T17:11:33Z,2021-07-02T17:11:33Z,1,ExitSurvey,2021-07-02T17:24:53Z,finished,,,,2021-07-02T17:03:10Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.695939,yellow_10,2052,"yellow_11,yellow_2,yellow_6,yellow_1,yellow_5,yellow_10",0.120024,2,24,,
smHTtZ5dWk7weCHA5,,2021-07-02T17:12:10Z,2021-07-02T17:12:10Z,1,ExitSurvey,2021-07-02T17:24:53Z,finished,,,,2021-07-02T17:03:31Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.610922,yellow_1,285,"yellow_2,yellow_11,yellow_10,yellow_1,yellow_6,yellow_5",0.055011000000000004,1,11,,
inFi5bbDy3pHF8Eik,,2021-07-02T17:08:11Z,2021-07-02T17:08:11Z,1,ExitSurvey,2021-07-02T17:18:37Z,finished,,,,2021-07-02T17:03:38Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.660931999999999,purple_10,2994,"purple_2,purple_7,purple_1,purple_3,purple_4,purple_10",0.040008,1,8,,
hXBALrkt3zA8EPSyn,,2021-07-02T17:10:27Z,2021-07-02T17:10:27Z,1,ExitSurvey,2021-07-02T17:24:53Z,finished,,,,2021-07-02T17:04:23Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.0310060000000005,yellow_10,-7297,"yellow_11,yellow_6,yellow_10,yellow_2,yellow_5,yellow_1",0.120024,2,24,,
ZyG2muLfXAMZzdYFm,,2021-07-02T17:14:59Z,2021-07-02T17:14:59Z,1,ExitSurvey,2021-07-02T17:24:45Z,finished,,,,2021-07-02T17:08:29Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.410881999999999,purple_3,12409,"purple_1,purple_7,purple_3,purple_2,purple_5,purple_11",0.040008,1,8,,
DfykSRpuP7Q78iL2K,,,,,,2021-07-02T17:44:52Z,gameFull,,,,2021-07-02T17:10:38Z,,,,,,,,,,,,
gTNPawg6qMMDokXRY,,2021-07-02T17:28:39Z,2021-07-02T17:28:39Z,1,,2021-07-02T17:44:52Z,gameFull,,,,2021-07-02T17:19:44Z,,,,,,,,,,,,
WNihN5qQg83zDSAFp,,,,,,2021-07-02T20:42:35Z,cancelled,adminCancelled,,,2021-07-02T20:41:56Z,,,,,,,,,,,,
ypzknRaDS65Yuy4f8,,2021-07-02T20:54:02Z,2021-07-02T20:54:02Z,1,ExitSurvey,2021-07-02T21:02:34Z,finished,,,,2021-07-02T20:43:31Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.356333333333333,yellow_4,1366,"yellow_10,yellow_12,yellow_2,yellow_4,yellow_3,yellow_7",0.16799999999999998,1,12,,
kWX9HGdtQmavGY5Ey,,2021-07-02T20:50:28Z,2021-07-02T20:50:28Z,1,ExitSurvey,2021-07-02T21:01:27Z,finished,,,,2021-07-02T20:43:38Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.592000000000001,red_4,1541,"red_12,red_1,red_4,red_9,red_2,red_7",0.126,1,9,,
