_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.exitTimeoutId,data.exited,data.scoreIncrement,data.clickLength
8T8Zk6GPcbGJzGSok,,2021-04-07T22:18:04Z,,,,,,,,2021-04-07T22:18:04Z,,,,,,,,,,,
isZuGv86pv4xx9uSp,,2021-04-30T19:14:22Z,,,,2021-04-30T21:33:13Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-30T19:14:22Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.63,false,false,"yellow_11,yellow_9,yellow_4,yellow_2,yellow_12,yellow_8",,,,
RwLjebWACxE7M6i7q,,2021-04-30T19:14:28Z,,,,2021-04-30T21:33:13Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-30T19:14:27Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.63,false,false,"yellow_12,yellow_11,yellow_9,yellow_4,yellow_8,yellow_2",,,,
mobuttknHarGoAy54,,2021-04-30T19:14:35Z,,,,2021-04-30T21:33:13Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-30T19:14:34Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.63,false,false,"yellow_2,yellow_11,yellow_8,yellow_9,yellow_12,yellow_4",5267,,,
F5RhmWWS43hDrFtoe,,2021-04-30T21:35:28Z,,,,2021-04-30T21:58:42Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-30T21:35:28Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,7.770000000000001,false,false,"white_5,white_6,white_2,white_10,white_12,white_11",13447,true,,
KMd57X4ZkvLwHiBWh,,2021-04-30T21:35:50Z,,,,2021-04-30T21:58:42Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-30T21:35:50Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,7.850000000000001,false,false,"white_5,white_2,white_10,white_12,white_11,white_6",,,,
BQEWAX8pEjahzwBiR,,2021-04-30T21:36:22Z,,,,2021-04-30T21:58:42Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-30T21:36:21Z,Repi,/avatars/jdenticon/Samuel,#8138A8,7.840000000000002,false,false,"white_10,white_12,white_6,white_11,white_5,white_2",12094,true,,
e3PJwMgHbCkkGrtXN,,2021-04-30T21:59:07Z,,,,2021-05-01T00:06:12Z,finished,,,2021-04-30T21:59:07Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.96,false,false,"yellow_5,yellow_3,yellow_10,yellow_1,yellow_9,yellow_4",6780,true,,
yXXaDzJXTFdNtyJNm,,2021-04-30T21:59:10Z,,,,2021-05-01T00:06:12Z,finished,,,2021-04-30T21:59:10Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.7049999999999998,false,false,"yellow_10,yellow_9,yellow_1,yellow_3,yellow_5,yellow_4",,,,
nHviNaTQmnjWKy9CB,,2021-04-30T21:59:16Z,,,,2021-05-01T00:06:12Z,finished,,,2021-04-30T21:59:15Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.9149999999999999,false,false,"yellow_10,yellow_3,yellow_1,yellow_4,yellow_9,yellow_5",6055,true,,
yh7MJMx7z8ygokctx,,2021-05-05T18:17:59Z,,,,2021-05-05T18:30:45Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-05T18:17:59Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.29000000000000004,false,false,"purple_1,purple_9,purple_8,purple_5,purple_12,purple_2",2497,true,,
aYixbi5xsSbN5Y9NC,,2021-05-05T18:18:20Z,,,,2021-05-05T18:30:45Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-05T18:18:20Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.28,false,false,"purple_12,purple_5,purple_8,purple_1,purple_2,purple_9",,,,
jpm29DJ6x5QryeMtv,,2021-05-05T18:18:26Z,,,,2021-05-05T18:30:45Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-05T18:18:25Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.67,false,false,"purple_8,purple_9,purple_2,purple_5,purple_12,purple_1",3690,true,,
tsaWBACQdwJkGiW7J,,,,,,2021-05-26T21:47:10Z,gameFull,2021-05-27T01:06:31Z,gameFull,2021-05-26T21:36:57Z,,,,,,,,,,,
WBNshe889WjAmEbCj,,,,,,2021-05-26T21:47:10Z,gameFull,2021-05-27T01:06:31Z,gameFull,2021-05-26T21:37:05Z,,,,,,,,,,,
84kCbqguZHbzJwAgX,,2021-05-26T21:45:46Z,,,,2021-05-26T21:49:58Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-26T21:37:12Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0,false,false,"purple_2,purple_9,purple_3,purple_4,purple_8,purple_11",,,,
F6GBqp4x75adueBZG,,2021-05-26T21:46:30Z,,,,2021-05-26T21:49:58Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-26T21:46:13Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0,false,false,"purple_9,purple_4,purple_3,purple_8,purple_2,purple_11",,,,
r4vbjzTpoHFzNH7X5,,2021-05-26T21:47:10Z,,,,2021-05-26T21:49:58Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-26T21:46:41Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0,false,false,"purple_8,purple_4,purple_3,purple_2,purple_9,purple_11",,,,
DQkK2J9AxL67XsFss,,2021-05-26T21:51:26Z,,,,2021-05-27T00:45:42Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-26T21:50:48Z,Repi,/avatars/jdenticon/Samuel,#8138A8,2.7299999999999995,false,false,"red_2,red_8,red_12,red_5,red_10,red_11",,,0.36,3
rupFXmZ87eLz6JPAD,,2021-05-26T21:51:53Z,,,,2021-05-27T00:45:42Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-26T21:51:33Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.4499999999999997,false,false,"red_10,red_11,red_5,red_2,red_12,red_8",3756,true,0.36,3
NFAs5cxAmXpbL9utZ,,2021-05-26T21:52:25Z,,,,2021-05-27T00:45:42Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-05-26T21:51:57Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.5399999999999996,false,false,"red_12,red_2,red_10,red_5,red_8,red_11",3838,,0.36,3
KBX5beek7twJCkf5B,,2021-05-27T00:50:45Z,,,,2021-05-27T00:55:45Z,gameLobbyTimedOut,2021-05-27T01:06:12Z,gameLobbyTimedOut,2021-05-27T00:48:40Z,,,,,,,,,,,
Z6g7Po82iFcDNCrpM,,,,,,2021-05-27T00:55:45Z,gameLobbyTimedOut,2021-05-27T01:06:12Z,gameLobbyTimedOut,2021-05-27T00:50:07Z,,,,,,,,,,,
BTZsTqWaMSHDnShs6,,,,,,2021-05-27T00:55:45Z,gameLobbyTimedOut,2021-05-27T01:06:12Z,gameLobbyTimedOut,2021-05-27T00:51:25Z,,,,,,,,,,,
nH8YXivFZ9zTFGPur,,2021-05-27T00:58:46Z,,,,,,,,2021-05-27T00:57:48Z,,,,,,,,,,,
Bc3aeoXocydthXZDf,,2021-05-27T00:58:52Z,,,,,,,,2021-05-27T00:57:55Z,,,,,,,,,,,
kSPBneGbmSBY3wgCN,,2021-05-27T01:00:06Z,,,,2021-05-27T01:05:11Z,custom,,,2021-05-27T00:59:00Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.36,false,false,"purple_1,purple_5,purple_4,purple_3,purple_6,purple_2",272,true,0.36,3
YQfnhGQq92yg4CMHa,,2021-05-27T01:01:37Z,,,,2021-05-27T01:05:11Z,custom,,,2021-05-27T01:01:00Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.36,false,false,"purple_6,purple_2,purple_3,purple_5,purple_1,purple_4",2474,true,0.36,3
phNeyEtgAirmTZdd8,,2021-05-27T01:01:26Z,,,,2021-05-27T01:05:11Z,custom,,,2021-05-27T01:01:02Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.36,false,false,"purple_4,purple_3,purple_1,purple_5,purple_2,purple_6",2163,true,0.36,3
7HJYhZpJ86FEXBTiL,,2021-05-27T01:08:00Z,,,ExitSurvey,2021-05-27T01:39:14Z,finished,,,2021-05-27T01:07:35Z,Repi,/avatars/jdenticon/Samuel,#8138A8,15.469999999999997,yellow_6,22888,"yellow_7,yellow_1,yellow_6,yellow_11,yellow_8,yellow_12",,,0.33,3
vFbMfknsc7TsNLYpz,,2021-05-27T01:08:25Z,,,ExitSurvey,2021-05-27T01:39:14Z,finished,,,2021-05-27T01:07:43Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,15.729999999999995,yellow_6,20449,"yellow_8,yellow_7,yellow_6,yellow_1,yellow_12,yellow_11",,,0.33,3
DgHvsMothZmmKKwa6,,2021-05-27T01:08:02Z,,,ExitSurvey,2021-05-27T01:39:14Z,finished,,,2021-05-27T01:07:48Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,15.479999999999995,yellow_6,18886,"yellow_11,yellow_1,yellow_6,yellow_12,yellow_8,yellow_7",,,0.33,3
