_id,name,factorIds,createdAt,archivedAt
XmX9qpuxFpNiCb9oy,Test,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,8s4mWKpqFF83FP3X6,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2021-04-07T01:08:22Z,2021-03-31T21:24:06Z
v9AvaQ8bH8GPTgA9k,pilot,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,8s4mWKpqFF83FP3X6,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2021-04-07T01:08:22Z,2021-03-31T20:01:42Z
BEonKsJsgdM5g6yNp,Dyad,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2021-04-07T01:08:22Z,2021-03-31T21:24:07Z
3KYvSLwRcL38QLZSJ,Quad,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2021-04-07T01:08:22Z,2021-03-31T21:24:07Z
Z6GaGWrtzzYotqJs7,Pair,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T01:08:22Z,
ZJ9ZHkfsCJ3eTgnfk,Triad,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T01:08:22Z,
XQjPggJaBK2wyTNPm,Four,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T01:08:22Z,
maYL8muxyNJzn7DgN,Twoplayer,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,N426gB4dWdJiZeyon,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T01:08:22Z,
JB3n5L3ddR97iyrtR,Fourplayer,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,N426gB4dWdJiZeyon,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T01:08:22Z,
BtnLmvBidmcro397s,foobar,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,N426gB4dWdJiZeyon,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T01:14:03Z,
TYxoET426g4QNZn6j,testing,"xWQjpcmpuWmZXGA7Q,bMLyzSZu2NMqPxMp3,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2021-04-07T02:48:12Z,
Hbs3yk8FFjHbfF48h,Pair-coop,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,XxGKfzAdshtarMJ8v,tbrmbrEbCZovKMq64,BhQi7sMQc7Xn8XfvN,b6Mw4aN3PPoPvg9zQ,Sw72ohJbi6YPGaoij",2021-04-30T19:13:42Z,2021-04-24T01:55:22Z
5juAB6vZp2G7djtSs,Trio-coop-partial,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,XxGKfzAdshtarMJ8v,tbrmbrEbCZovKMq64,BhQi7sMQc7Xn8XfvN,b6Mw4aN3PPoPvg9zQ,Sw72ohJbi6YPGaoij,d9ABRt3W7ZssJnyFZ",2021-04-30T19:13:42Z,
DCRYq6y4pP4LeJoFB,trio-competitive-partial,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,XxGKfzAdshtarMJ8v,tbrmbrEbCZovKMq64,ttoh8hn8bSDbSJ3gu,b6Mw4aN3PPoPvg9zQ,Sw72ohJbi6YPGaoij,d9ABRt3W7ZssJnyFZ,ShaXLWHc7zKxb7N5Z",2021-04-30T19:13:43Z,
