_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
qstWCaM5CJAGCFjFD,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,CvpKN3gHe4pcwS37o,HDamn7mKpJuzQEGR4,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:52Z
xBB2WTnMHRHCkpgtE,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,CvpKN3gHe4pcwS37o,HDamn7mKpJuzQEGR4,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:52Z
sF8Z5W83swrjfEaDt,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,CvpKN3gHe4pcwS37o,HDamn7mKpJuzQEGR4,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:51Z
k92DWJzgaexhbdyKE,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,g4WqSW8RomECRk8P5,HDamn7mKpJuzQEGR4,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
yxnRWhmmtk8rmNnc7,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,g4WqSW8RomECRk8P5,HDamn7mKpJuzQEGR4,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
oecLf7HEntP7mPFMv,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,g4WqSW8RomECRk8P5,HDamn7mKpJuzQEGR4,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
wwLm8f6pkoj3afuWS,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,Trx6nG3RepWmCnuuL,Q8cPA9qwJS4tdCzDg,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:37:00Z
QzMs6YpJ3DsAgEK8w,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,Trx6nG3RepWmCnuuL,Q8cPA9qwJS4tdCzDg,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:37:01Z
7Yc5JGARicAL2NXnz,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,Trx6nG3RepWmCnuuL,Q8cPA9qwJS4tdCzDg,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:37:00Z
bNAQZHqqDZ6kjLtkc,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,w2MuH9emMBySqQ8uG,Q8cPA9qwJS4tdCzDg,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
YnscxZpcjbRfkKaLS,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,w2MuH9emMBySqQ8uG,Q8cPA9qwJS4tdCzDg,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
zEcaaz3u97kdjWRGz,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,w2MuH9emMBySqQ8uG,Q8cPA9qwJS4tdCzDg,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
Mm6jkx55iqpMDN5aN,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,qggSBdCXRxmkefgAh,oEkMaY8mvPw2zfqXr,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:37:11Z
cFQBNam23bq7Jokwr,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,qggSBdCXRxmkefgAh,oEkMaY8mvPw2zfqXr,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:37:13Z
