_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time
vde82y26gA7t6mnHu,SFbtuPNhbjNBaPnvf,Qb68YqXhzBJhAFxaE,2021-07-23T17:03:58Z,45,female,English,true,,,,,,lessHighSchool,yes,yes,agree,yes,no,yes
eRY6yb9kTiYTxLbKL,FucM7ALrbZEpfycuE,3LgkjpqtmuKooAMZM,2021-07-23T17:04:55Z,45,Male,English,true,,,,,,master,yes,no,neutral,Yes,No,Yes
QsoYTCvytBMhLKi6P,MoffctnGjby2hyGhf,3LgkjpqtmuKooAMZM,2021-07-23T17:05:03Z,38,female,english,true,,,,,,bachelor,yes,yes,agree,Yes,No,Yes
YCmEEE5oGQdkdNYNt,wuHYu7fPyyYorsXju,3LgkjpqtmuKooAMZM,2021-07-23T17:05:10Z,47,Male,English,true,,,,,,master,yes,no,agree,Yes,None,Yes definitely.
dPyCcHJFwM728QwDv,6nN5jtDyBpx44jbwy,Qb68YqXhzBJhAFxaE,2021-07-23T17:05:20Z,39,female,english,true,,,,,,highSchool,yes,yes,disagree,I wish it was longer of a game..... always wish to make more money what person doesn't ? ;),I wish we could of chatted we kept picking the same ones..... and the same person kept picking the best one....,yes
JkomALxbLNxSSqTGt,88itDnHA42A3xM9q2,pGQMu9KhuEYRzYo5x,2021-07-23T17:07:01Z,22,Male,english,true,,,,,,highSchool,yes,yes,agree,yes,i enjoyed this one,more than enough
eoQCg8gaGNn78GA4J,8uiSdJDKwaBb8RGwB,RvTMRhiHEBcZHTWQx,2021-07-23T17:08:37Z,27,Female,English,true,,,,,,master,yes,yes,neutral,"Yes, but I wish I were able to actually get bonuses... ","Yeah, I couldn't even see the results from the first round... Maybe I'll be able to participate sometime in the future ","MORE than enough time. A minute would be fair. I waited 3 minutes only to have one participant not choose anything, and then I got booted from the study. "
xxzjsTqmGg9bwFexq,nfSEndJ3cGwiFnYtz,RvTMRhiHEBcZHTWQx,2021-07-23T17:08:39Z,43,Male,English,true,,,,,,someCollege,yes,yes,neutral,"I guess, but I didn't even get a chance to play the game.  I made a selection and then it errored out after the third person never made their decision.","Yes, after two of us made decisions and the third didn't, I came to the screen saying I was finished.  I don't understand why.","Yes, two of us made our decisions quickly while the third never did."
kCaECGu6AKJugLrns,jDy5F5KE3bB7QtSpC,zEauNYLp4kXNxJwnB,2021-07-23T17:08:53Z,49,f,english,true,,,,,,bachelor,yes,no,neutral,yes,no,yes
DRNc9mNoT2Q92PocR,M8Xvx6dYLJJ7KMQQQ,qQhHk4h8omiiqvB4L,2021-07-23T17:08:57Z,46,male,english,true,,,,,,bachelor,yes,yes,agree,yes,no,no
LF5TgXZqjCdTvSm5T,E78pfsFWs66WjEqhW,qQhHk4h8omiiqvB4L,2021-07-23T17:09:00Z,40,Female,English,true,,,false,,,highSchool,yes,yes,neutral,Yes,No,Yes
WD5uxagmE4Tg9ofxN,4WrsHH6tYWpKjYj2L,qQhHk4h8omiiqvB4L,2021-07-23T17:09:03Z,70,male,english,true,,,,,,master,yes,no,neutral,yes,none,yes
8xmPLjzgPMtipsRBR,KELZXttczQxWGMXrM,,2021-07-23T17:09:03Z,31,female,English,true,,,,,,bachelor,yes,yes,neutral,"It was fair, I didn't get to play.",No problems,I didn't get to play.
kr8d3JjdAbHnqp3to,WwpC2LRdQwpDbsxH4,zEauNYLp4kXNxJwnB,2021-07-23T17:09:30Z,19,Male,English,true,,,,,,lessHighSchool,yes,no,neutral,Yes.,No.,Yes; maybe even too much.
MFZnW5uaM8YQv7TsT,HHzZRioDjDnoot6aj,zEauNYLp4kXNxJwnB,2021-07-23T17:09:44Z,21,Male,English,true,,,,,,highSchool,yes,no,agree,Yes,No,Yes
as8JxX9BeYY662E98,gZPD9Yt4EdoSmS3T4,,2021-07-23T17:10:22Z,37,male,english,true,,,,,,bachelor,no,no,neutral,Yes,No,Yes
eTXDicFMC5Hm5un4n,me7iEtGN8fFRokvPg,,2021-07-23T17:10:38Z,38,Male,English,true,,,,,,someCollege,yes,yes,neutral,Yes,The instructions was a little confusing,I could of used more time
xwotT5tRCBYtYmfMY,fXnW6X9q4nRqJG4aq,39CAZTKLsCKbbfEgn,2021-07-23T17:10:51Z,36,Male,English,true,,,,,,bachelor,yes,yes,agree,Yes,None,More than enough
WCcfT4Mg9kq7wXBs3,6bDT7aWved6EtiKDG,,2021-07-23T17:11:00Z,36,,,true,,,,,,bachelor,no,no,neutral,The pay was fair,No issues other than I was confused on the first questions on the 3 set.,Didn't play the game.
Nkz6hAjKzzR4d4Sq9,dDbuWnfCrwpHkbsRg,39CAZTKLsCKbbfEgn,2021-07-23T17:11:01Z,51,female,English,true,,,,,,someCollege,yes,no,agree,Yes,"no problems, it all went well.",Yes
pgGLGFD9AzHnKEaij,abguAkpKKd2QTfS3y,,2021-07-23T17:11:23Z,18,Non-binary,English,true,,,,,,highSchool,yes,yes,neutral,"The base pay, yes. I couldn't get past the instructions though, since all the spots filled up.","Just that I wish I could've played, from where I got to in the instructions, it seems like this game would've been fun and interesting to play.",I cannot say.
qLMLPeM3bqF6wbLFk,hbw3NjMS22hPG6KFF,39CAZTKLsCKbbfEgn,2021-07-23T17:12:30Z,29,male,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,no,yes
dEXvZ8zW3CKv9Zxcz,iXW8BsftHJAEYdd3T,,2021-07-23T17:12:48Z,19,male,English,,true,,,,,highSchool,yes,no,neutral,yes,well being sent to the end suddenly was a surprise i guess though because of that not sure what i should answer for the question about if other participants were bots or not,didn't get to any rounds so i don't know
Qrp7JBwfomkYCK7kN,KBceqLEmZNGipbpP4,hs4ay3QceE9oxhcov,2021-07-23T17:13:33Z,20,male,English,true,,,,,,someCollege,yes,yes,neutral,yes,no,yes
EjqgrNTqmG87Gktxp,uEF3WPP8Wr2AiHrjr,hfwq4ugmNyCRzKeMr,2021-07-23T17:13:42Z,23,Nonbinary,English,true,,,,,,someCollege,yes,no,disagree,Yes,No,Yes
23eLoo6XxacEZ3BAn,QruMEZRqxuSgdRvRv,hfwq4ugmNyCRzKeMr,2021-07-23T17:13:49Z,33,female,English,true,,true,,true,,bachelor,yes,no,neutral,Absolutely.,No.,Yes.
L93ECGaumzs3meBGe,rNAy3sj2cTwXnko69,hfwq4ugmNyCRzKeMr,2021-07-23T17:13:49Z,19,non-binary ,English ,true,,,,,,someCollege,yes,yes,agree,yes,no,yes more then enough time
