gameId,finishedAt,createdAt,sequence,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength
KiBJ5D2Gb56scHooG,2021-07-20T17:26:05Z,2021-07-20T16:58:33Z,"yellow,white,purple,red",4,coopMulti,multiPilot0720,3,180,6,5,6,12,true,1.6,true,28.5
kL7tNzWoCekon3xWa,2021-07-22T16:55:28Z,2021-07-22T16:03:31Z,"red,white,yellow,purple",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,53.7833333333333
L9KobdseLb9BTrtyk,2021-07-22T16:57:22Z,2021-07-22T16:16:33Z,"purple,yellow,red,white",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,44.1666666666667
NM9kn2zcGWyPgE43R,2021-07-22T16:20:55Z,2021-07-22T15:54:56Z,"yellow,red,purple,white",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,27.3166666666667
nTjviCmSRATRxwqA5,2021-07-22T15:47:10Z,2021-07-22T15:22:47Z,"red,purple,white,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,25.4833333333333
ouLFcL4pWNcRE5JNu,2021-07-22T16:52:37Z,2021-07-22T15:33:46Z,"purple,white,red,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,81.5666666666667
oxMbxEbCGTr4pDWYD,2021-07-22T16:42:26Z,2021-07-22T16:06:06Z,"white,yellow,red,purple",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,38.15
q5bzFrZGBFgZmoXnL,2021-07-22T16:22:51Z,2021-07-22T15:39:12Z,"white,purple,red,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,47.0333333333333
R6fYnby2HvssRxsAM,2021-07-20T17:17:11Z,2021-07-20T17:02:40Z,"red,yellow,white,purple",4,coopMulti,multiPilot0720,3,180,6,5,6,12,true,1.6,true,15.55
TKDxvKEgTaszS2gky,2021-07-22T16:04:22Z,2021-07-22T15:40:46Z,"red,white,yellow,purple",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,24.0333333333333
vomoob4XzDkrw5rXZ,2021-07-22T17:50:36Z,2021-07-22T17:39:22Z,"purple,red,yellow,white",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,14.1833333333333
WJsoLE8hwiTt9ERkZ,2021-07-22T16:24:05Z,2021-07-22T16:13:00Z,"white,red,purple,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,14.8333333333333
XSXkYGi5F5PLX3Fbc,2021-07-22T16:03:05Z,2021-07-22T15:52:57Z,"white,purple,red,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,11.4666666666667
zrmt2fPsMpCPTxi7L,2021-07-22T15:44:17Z,2021-07-22T15:24:22Z,"yellow,red,purple,white",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,true,1.6,true,21.2333333333333
