"","category","subpop","ba","nba","bna","nbna","category_num","subpop_num","model_eta","model_mu","model_dnm"
"27","at","Individual Utilities",47,207,159,886,15,1,0.277560484285806,0.235664727374263,0.0398429204340448
"28","at","Shared Utilities",35,147,110,902,15,2,0.627837856023499,0.542096598679045,0.0787350696842983
"29","aw","Individual Utilities",2,8,4,143,16,1,1.12433134027958,1.54656880066694,0.115976831039041
"30","away","Individual Utilities",2,4,4,44,17,1,1.67786521074261,1.46068495687502,0.231441817043756
"31","back","Individual Utilities",9,56,32,563,18,1,1.07510778886164,1.00541225254551,0.093367157252992
"32","back","Shared Utilities",2,39,19,317,18,2,-0.299600601664844,-0.157571877060264,-0.00855691280332622
"33","be","Individual Utilities",61,148,130,831,19,1,0.931015681087577,0.742822180226279,0.150152190081977
"34","be","Shared Utilities",59,150,104,618,19,2,0.839229983485922,0.666945018187608,0.136860663625446
"35","been","Shared Utilities",1,1,1,14,20,2,2.85165949508316,2.10967594949264,0.445239283032782
"36","best","Individual Utilities",45,106,90,569,21,1,1.01769638382952,0.803727192770426,0.167245955747582
"37","best","Shared Utilities",33,106,57,610,21,2,1.20913515790031,1.02750606112253,0.153581803303742
"38","by","Individual Utilities",2,17,12,339,22,1,1.16530095521975,1.21995123183057,0.0834053989943724
"39","by","Shared Utilities",1,15,10,382,22,2,0.81606056843375,1.00485367224751,0.0445606417987973
"40","can","Individual Utilities",11,100,46,748,23,1,0.570666898393181,0.55828202478052,0.0433900910648291
"41","can","Shared Utilities",3,50,35,543,23,2,-0.0267765318780899,0.0518207309474414,0.00315746891669182
"42","cant","Shared Utilities",0,4,2,122,24,2,-3.59263415902726,1.19800253934175,0.0352041949556627
"43","did","Individual Utilities",2,27,7,463,25,1,1.57360856993938,1.60994060640037,0.0590814872881702
"44","did","Shared Utilities",2,22,6,322,25,2,1.89647296389037,1.94537901729634,0.108557052232913
"45","do","Individual Utilities",47,93,68,896,26,1,1.90190297240251,1.56158279720844,0.267174272305083
"46","do","Shared Utilities",49,103,71,758,26,2,1.55870362952006,1.27244498705221,0.226737229679631
"47","does","Shared Utilities",1,6,1,75,27,2,2.55254196149966,2.45252431026879,0.116732141204604
"48","dont","Individual Utilities",0,15,4,305,28,1,-2.40790960642531,0.0398382000942696,0.000445093352772685
"49","down","Shared Utilities",0,5,3,91,29,2,-0.444075337971395,1.07280983481968,0.0429917388674206
"50","each","Shared Utilities",2,4,1,39,30,2,3.28759854012084,2.9448734708778,0.246499442451112
"51","er","Individual Utilities",212,334,336,738,31,1,0.343245640673844,0.222954504032736,0.0779505325186894
"52","er","Shared Utilities",219,321,295,731,31,2,0.509443363145956,0.333414957093585,0.114565230582271
"53","five","Individual Utilities",2,12,6,219,32,1,1.76219917479595,1.63071828803752,0.112911744582999
"54","for","Individual Utilities",61,165,143,1018,33,1,0.971210773090722,0.789039123435899,0.148145158400142
"55","for","Shared Utilities",76,184,163,829,33,2,0.716796207750283,0.558071875772812,0.123457982437413
"56","ha","Individual Utilities",124,272,232,811,34,1,0.464134005605183,0.341443925070634,0.0904685514487573
"57","ha","Shared Utilities",72,206,175,918,34,2,0.617867621210216,0.490964096142968,0.101259171055947
"58","half","Individual Utilities",21,50,43,410,35,1,1.34231546019707,1.10674067161231,0.193432620830103
"59","half","Shared Utilities",6,38,36,354,35,2,0.425364848367928,0.429375695071024,0.0503767716713782
"60","has","Individual Utilities",6,46,21,528,36,1,1.2177518411346,1.16120421688916,0.0809396678801557
"61","have","Individual Utilities",4,43,18,512,37,1,1.056269062988,1.07153495763228,0.0612882684714723
"62","have","Shared Utilities",1,37,5,437,37,2,1.25163156931093,1.4524408071902,0.0283883888823188
"63","he","Individual Utilities",499,318,303,529,38,1,1.00365679218848,0.514183837162248,0.245363566446953
"64","he","Shared Utilities",383,290,279,616,38,2,1.05604209767899,0.592663314245697,0.253853906205982
"65","her","Individual Utilities",3,31,11,642,39,1,1.33968872269799,1.39689569276986,0.0572972525388771
"66","her","Shared Utilities",5,38,20,511,39,2,1.09261939788629,1.10337174555222,0.0770702597507326
"67","hes","Individual Utilities",13,64,53,586,40,1,0.658981045069704,0.605163461262353,0.0701158633626093
"68","hes","Shared Utilities",5,53,36,515,40,2,0.112075498996957,0.192821551700349,0.0137602253691226
"69","his","Individual Utilities",0,17,5,316,41,1,-0.765308780840393,-0.112295658694384,-0.00154212862969868
"70","how","Shared Utilities",0,16,4,285,42,2,-1.37930639625315,0.783276533484812,0.0159484802067816
"71","i","Individual Utilities",1011,231,244,74,43,1,0.261559589188408,0.0548470936537541,0.0434542284797058
"72","i","Shared Utilities",894,256,270,121,43,2,0.463964770732114,0.123141929911351,0.0902028512727007
"73","I'd","Individual Utilities",0,3,2,15,44,1,-1.52760104711153,0.720119775708755,0.108330461294922
"74","I'll","Individual Utilities",1,57,8,180,45,1,-0.928692148935398,-0.685102086389039,-0.0202748995557518
"75","I'll","Shared Utilities",12,71,17,409,45,2,1.3985537418142,1.2856579903977,0.105139201703448
"76","if","Individual Utilities",1,36,13,573,46,1,0.340213770117065,0.629840092444122,0.0172749267038579
"77","if","Shared Utilities",1,21,7,314,46,2,0.359727018663243,0.925276032444885,0.030370047583665
"78","in","Individual Utilities",224,355,345,726,47,1,0.282740763254181,0.182343259529405,0.0646690891713382
"79","in","Shared Utilities",180,298,262,792,47,2,0.592538982704204,0.408921269314951,0.126070037967315
"80","inside","Individual Utilities",1,10,5,38,48,1,0.477362086306241,0.489321286165355,0.0599871484022825
"81","is","Individual Utilities",166,300,287,774,49,1,0.414170294724611,0.284925560897692,0.0886876690673563
"82","is","Shared Utilities",103,232,189,639,49,2,0.393876609814809,0.289467107624806,0.0769906345655543
"83","it","Individual Utilities",214,350,335,727,50,1,0.275874589896557,0.180209763449826,0.0624917990701086
"84","it","Shared Utilities",160,287,271,839,50,2,0.554516656709511,0.389238968455291,0.115432048067596
"85","its","Individual Utilities",0,23,11,396,51,1,-3.01488842605613,-2.15579047753678,-0.022620138981376
"86","its","Shared Utilities",0,18,6,294,51,2,-5.20731413138209,-1.75452089914464,-0.0142656211249954
"87","ive","Individual Utilities",2,15,6,270,52,1,1.63272572312178,1.75466679033284,0.0914446128681098
"88","just","Individual Utilities",1,15,5,320,53,1,-0.816966166506597,-0.122417940719028,-0.00229535610019953
"89","just","Shared Utilities",2,25,12,359,53,2,0.412891976289502,0.625731131218821,0.0278346097739776
"90","less","Individual Utilities",1,20,13,413,54,1,-0.103155715799815,0.104821753894814,0.00340049745609149
"91","let","Individual Utilities",1,10,4,188,55,1,2.00228495624151,2.04289869981811,0.118078454157355
"92","lets","Individual Utilities",1,5,3,104,56,1,0.312949782084209,1.00693797033501,0.0561347910969532
"93","like","Individual Utilities",7,87,49,856,57,1,0.408127975978093,0.421865355815604,0.0279624602847124
"94","like","Shared Utilities",1,39,18,645,57,2,-0.338853062347609,0.389410532354993,0.0122769636673446
"95","lot","Individual Utilities",1,22,12,276,58,1,-0.55962604485911,0.291923390157475,0.0145353387259153
"96","lot","Shared Utilities",0,18,2,236,58,2,-7.17410421220862,-5.34557876026586,-0.0111563350843769
"97","lots","Individual Utilities",1,16,6,264,59,1,0.553193444993212,0.79938963258203,0.0289186222383514
"98","many","Individual Utilities",1,2,1,37,60,1,2.4736258447839,2.20374489592828,0.246247068075695
"99","me","Individual Utilities",85,192,172,1074,61,1,1.02232284548074,0.803539541463145,0.170357630281839
"100","me","Shared Utilities",83,184,161,885,61,2,0.921585626650616,0.713261169905239,0.159712619039819
"101","mine","Individual Utilities",3,27,11,509,62,1,1.50399100450346,1.48044289834786,0.0728289601059399
"102","most","Individual Utilities",0,37,27,548,63,1,-4.34777166087913,-2.83205719570089,-0.0447388577001996
"103","most","Shared Utilities",2,14,7,265,63,2,1.51441509862774,1.5658932181681,0.0899722586222686
"104","my","Individual Utilities",8,64,43,527,64,1,0.40634244951698,0.412029433077895,0.0384451505798425
"105","my","Shared Utilities",10,42,32,315,64,2,0.813704281981704,0.717482861266649,0.0991349165346327
"106","no","Individual Utilities",1,49,17,684,65,1,-0.76162468794173,-0.368685089690337,-0.00734947517709674
"107","no","Shared Utilities",4,41,21,570,65,2,1.14051669305261,1.13934172799869,0.0688107202735992
"108","not","Individual Utilities",1,25,9,478,66,1,0.999517293264285,1.09481240917187,0.0368644533064258
"109","not","Shared Utilities",2,19,5,371,66,2,2.20335406788852,2.22151495635228,0.105028868607996
"110","now","Shared Utilities",0,6,2,134,67,2,-2.04115705287126,1.16742976346384,0.0410135282527361
"111","of","Individual Utilities",9,89,54,916,68,1,0.556855401376466,0.556581844372076,0.0416129613002964
"112","of","Shared Utilities",8,65,34,796,68,2,1.13247146723318,1.07343676651596,0.0772275310719413
"113","ok","Individual Utilities",29,176,145,1061,69,1,0.187347995041634,0.172828255278755,0.0225102743136547
"114","ok","Shared Utilities",25,180,154,928,69,2,-0.208163575178246,-0.169776412067259,-0.0223815619466307
"115","okay","Individual Utilities",4,56,38,508,70,1,-0.420129563783009,-0.262874213361064,-0.0165382406489704
"116","okay","Shared Utilities",2,42,3,382,70,2,1.4862699270755,1.57396577328022,0.0305023286216606
"117","on","Individual Utilities",240,340,327,721,71,1,0.421675021803641,0.268976778677884,0.0970152922144491
"118","on","Shared Utilities",205,315,307,758,71,2,0.463421455547266,0.306332979696986,0.103415375338117
"119","one","Individual Utilities",160,303,292,873,72,1,0.472425488960981,0.332704085783625,0.0982356969671806
"120","one","Shared Utilities",145,272,253,850,72,2,0.588494267168012,0.420435181228462,0.119571335968421
"121","ones","Individual Utilities",3,46,15,603,73,1,1.13838695352168,1.20755628279724,0.0547650537884757
"122","ones","Shared Utilities",2,28,9,432,73,2,0.722149533501811,0.831420045949426,0.0276104005397388
"123","only","Individual Utilities",0,12,7,155,74,1,-6.76432218593393,-3.55918482490221,-0.0425076983379785
"124","or","Individual Utilities",79,201,178,978,75,1,0.745186300084706,0.587963547090737,0.123739162575876
"125","or","Shared Utilities",120,247,225,797,75,2,0.554497916984931,0.404398050585986,0.109102236037972
"126","our","Individual Utilities",2,43,19,597,76,1,0.338486529201365,0.480073092686773,0.0174691963741999
"127","our","Shared Utilities",1,26,9,337,76,2,0.427012573175609,0.641431707722679,0.0215923219429766
"128","out","Individual Utilities",9,69,39,687,77,1,0.748350235208209,0.716794716062292,0.0561430486556867
"129","out","Shared Utilities",0,49,27,554,77,2,-5.01219428227173,-2.85433889444388,-0.0421388494513779
"130","over","Individual Utilities",3,36,22,523,78,1,0.707954572235323,0.759393617087954,0.0462424703808451
"131","over","Shared Utilities",1,17,4,306,78,2,1.02158244312415,1.27220411531799,0.0370498322212504
"132","own","Individual Utilities",0,14,4,262,79,1,-3.13520961387385,-1.12374654323602,-0.00968656871400106
"133","own","Shared Utilities",1,16,3,267,79,2,1.74862029926,1.76093783733221,0.0499737980350994
"134","same","Individual Utilities",4,56,30,860,80,1,0.657311712493237,0.692271170899319,0.034698052135262
"135","same","Shared Utilities",2,25,9,411,80,2,1.443202360829,1.49165681346737,0.0735871062498473
"136","second","Individual Utilities",7,31,15,503,81,1,2.17812141756612,1.99471312529791,0.175252154757961
"137","second","Shared Utilities",0,19,11,354,81,2,-1.28742808235613,-0.367797129681986,-0.00954377636988997
"138","so","Individual Utilities",3,69,32,706,82,1,-0.212210273681326,-0.0964943090264243,-0.00406684411327324
"139","so","Shared Utilities",5,46,26,606,82,2,0.833423499640833,0.818542386012063,0.0529597424500703
"140","soon","Shared Utilities",1,1,1,29,83,2,4.01238177564248,2.94820075416714,0.380538159541547
"141","ten","Shared Utilities",0,6,4,34,84,2,-3.14813860426766,-1.90798098373434,-0.0873125470429225
"142","than","Individual Utilities",2,38,28,535,85,1,-0.207340313179499,-0.0809193526822947,-0.0037586397317438
"143","than","Shared Utilities",0,17,6,322,85,2,-4.17139313577892,-1.67471018834772,-0.0126027898314392
"144","that","Individual Utilities",14,104,58,906,86,1,0.679484428288366,0.639768655606463,0.0544714580895856
"145","that","Shared Utilities",15,95,61,914,86,2,0.928900206925769,0.85050892116918,0.083182390867406
"146","thats","Individual Utilities",0,14,4,356,87,1,-3.38516768422659,-1.95304661063077,-0.0117489867103069
"147","thats","Shared Utilities",1,10,3,261,87,2,1.87073591747702,2.08939830254906,0.0742786442073285
"148","the","Individual Utilities",417,324,311,597,88,1,0.906850808314298,0.49744221554421,0.220511074574255
"149","the","Shared Utilities",343,276,267,686,88,2,1.15406400012172,0.678220241325278,0.271884727726194
"150","then","Individual Utilities",0,37,14,467,89,1,-4.63356020428403,-2.89528611105289,-0.0270916275386698
"151","then","Shared Utilities",3,35,19,384,89,2,0.37857189461465,0.479673652036078,0.0292709473877264
"152","tho","Individual Utilities",0,14,4,388,90,1,-1.4694285906397,0.915952980136665,0.0132516515123779
"153","three","Individual Utilities",7,71,52,540,91,1,0.0924934758553311,0.139022069238332,0.0128728272576651
"154","three","Shared Utilities",4,45,18,392,91,2,0.355512332113273,0.420464934589678,0.0243552598098346
"155","to","Individual Utilities",14,91,68,1035,92,1,0.816136216790163,0.764519649599305,0.0705922917466022
"156","to","Shared Utilities",12,88,52,785,92,2,0.704349066176746,0.669989087572112,0.0598438925281731
"157","too","Individual Utilities",3,26,11,434,93,1,1.37494262794129,1.44246298140659,0.0802093525039046
"158","too","Shared Utilities",0,21,11,312,93,2,-3.10403674881267,-2.35313696435802,-0.0306790915430905
"159","two","Individual Utilities",7,62,35,675,94,1,0.6565144304758,0.65027912249709,0.0464275389052184
"160","two","Shared Utilities",0,20,8,299,94,2,-7.91185764237216,-6.91481027322119,-0.0260571631324712
"161","um","Individual Utilities",10,23,19,399,95,1,2.15811010916961,1.85047552391446,0.249869704003342
"162","under","Shared Utilities",0,14,9,263,96,2,-4.23262720147635,-3.04389494326854,-0.0319745054921245
"163","up","Individual Utilities",1,42,30,517,97,1,-1.5568209334533,-1.16149699858553,-0.0379655162443636
"164","up","Shared Utilities",1,44,24,625,97,2,-1.15990751288233,-0.780615833149048,-0.0201359056741655
"165","us","Individual Utilities",6,59,36,714,98,1,0.687237545271026,0.683120310096321,0.0466290807680961
"166","us","Shared Utilities",16,72,54,561,98,2,0.842774145864276,0.743089146625332,0.0969213515402609
"167","very","Individual Utilities",0,24,7,409,99,1,-4.20394988206302,-1.60048921466878,-0.0120494281863279
"168","very","Shared Utilities",1,16,9,270,99,2,0.174980140557708,0.613732168366,0.0279562132773385
"169","was","Individual Utilities",0,13,3,287,100,1,-2.93446277033618,-1.88962365459453,-0.00862203568077538
"170","we","Individual Utilities",108,254,242,958,101,1,0.537356805507917,0.40484173368397,0.100255977036625
"171","we","Shared Utilities",128,275,240,864,101,2,0.520906233737126,0.382985067022911,0.101234176947234
"172","what","Individual Utilities",1,57,10,610,102,1,0.447940984004665,0.591393875664551,0.0124530986723721
"173","what","Shared Utilities",1,33,4,432,102,2,0.872498737175292,1.06583113761739,0.0152324174215181
"174","which","Individual Utilities",0,30,9,570,103,1,-4.81338952849127,-1.05925074919117,-0.010656733444505
"175","which","Shared Utilities",1,19,1,334,103,2,3.37174732595542,2.92981773318809,0.0364785751413677
"176","will","Individual Utilities",3,46,15,520,104,1,0.623155462151525,0.804596872563108,0.0346751597814633
"177","will","Shared Utilities",20,92,37,499,104,2,1.02911299673919,0.916175883139531,0.1070516303468
"178","with","Individual Utilities",123,271,258,974,105,1,0.552562013364046,0.410255549920401,0.105567242012268
"179","with","Shared Utilities",125,236,222,933,105,2,0.781351438639527,0.575343990261197,0.150404392840996
"180","ye","Individual Utilities",54,185,165,984,106,1,0.529707833767993,0.436530273186076,0.0792512583776973
"181","ye","Shared Utilities",46,163,144,1008,106,2,0.698372335698797,0.583366134806937,0.0983407938325252
"182","yea","Individual Utilities",0,5,3,136,107,1,-2.45903502444173,0.3880968119058,0.0121154713884423
"183","yea","Shared Utilities",1,20,12,447,107,2,-0.0508027528946621,0.467237649200346,0.0154376420274096
"184","yeah","Individual Utilities",0,5,3,136,108,1,-3.81841403691049,-1.62624181181506,-0.017192978087254
"185","yeah","Shared Utilities",1,18,10,394,108,2,-0.296512864405611,0.361608168643081,0.0106902154058437
"186","yes","Individual Utilities",1,21,7,322,109,1,-0.22432300513305,0.580821092679605,0.0172356739399193
"187","yes","Shared Utilities",0,17,3,271,109,2,-1.60544503909908,0.109109134679074,0.00112495284215515
"188","yet","Shared Utilities",0,2,2,28,110,2,-3.79636448588222,-2.76796729885584,-0.0365401062880767
"189","you","Individual Utilities",14,127,97,976,111,1,0.0683292747740886,0.0813269729676058,0.00773798666710518
"190","you","Shared Utilities",7,73,45,828,111,2,0.477189158697151,0.50883730453244,0.0343667046071269
"191","your","Shared Utilities",1,6,1,134,112,2,1.05036319519056,1.3906810332584,0.0391321125441766
