"","category","subpop","ba","nba","bna","nbna","category_num","subpop_num","model_eta","model_mu","model_dnm"
"1","a","Individual Utilities",886,278,293,129,1,1,0.332115570444035,0.0900769863013953,0.0656108830795717
"2","a","Shared Utilities",713,314,308,293,1,2,0.764817150689872,0.30061697219267,0.18024024673969
"3","about","Individual Utilities",5,50,28,602,2,1,0.884669645633469,0.882803862443465,0.060551355017051
"4","about","Shared Utilities",0,39,25,508,2,2,-2.18110750032236,-1.35066068385972,-0.0340020570406755
"5","again","Individual Utilities",0,37,11,640,3,1,-4.71254919091605,-2.99009018052826,-0.0165109177817524
"6","again","Shared Utilities",3,38,18,516,3,2,-0.229329321618353,0.325930237410966,0.0136808514513777
"7","ah","Individual Utilities",2,31,14,439,4,1,0.3935520114862,0.576535246631371,0.0244777422750942
"8","ah","Shared Utilities",4,34,20,526,4,2,1.09786984335786,1.08794943334491,0.0730392343324075
"9","ahead","Individual Utilities",1,15,6,121,5,1,0.533266569067899,0.709707054257732,0.0466823892008449
"10","aint","Shared Utilities",3,13,11,145,6,2,1.10944178435409,1.03737782966082,0.122687734331745
"11","all","Individual Utilities",18,114,92,1052,7,1,0.583508641482308,0.536455884747928,0.0574912773084406
"12","all","Shared Utilities",19,101,76,751,7,2,0.526296948171756,0.481214238926207,0.0579667680415271
"13","also","Individual Utilities",0,14,5,213,8,1,-1.9848790948562,-1.32453038791955,-0.0158631556513371
"14","also","Shared Utilities",0,10,2,237,8,2,-2.19714996358356,-0.222882936797782,-0.00164099604465583
"15","am","Individual Utilities",9,81,56,907,9,1,0.607935780933462,0.583602062620892,0.0455548122168228
"16","am","Shared Utilities",5,52,29,630,9,2,0.757898422498132,0.760378040685445,0.0499099445938623
"17","an","Individual Utilities",95,255,231,931,10,1,0.412426937507531,0.317402870229603,0.073975297921413
"18","an","Shared Utilities",96,221,199,845,10,2,0.615902352379701,0.466495202136589,0.112900053929883
"19","and","Individual Utilities",17,138,104,936,11,1,0.0936093790536887,0.100141459329843,0.0104655440735395
"20","and","Shared Utilities",14,98,67,857,11,2,0.494840410260536,0.478283612553019,0.0445588990602171
"21","any","Individual Utilities",1,19,2,445,12,1,2.59439599260915,2.5381854673824,0.0519895851071527
"22","any","Shared Utilities",1,15,8,382,12,2,0.571350727424542,0.970708128342544,0.0328004127220631
"23","are","Individual Utilities",20,96,76,845,13,1,0.846164860396324,0.751129277205968,0.0912957530557061
"24","are","Shared Utilities",1,41,24,529,13,2,-1.8472246601144,-1.38711723033985,-0.0343329393789626
"25","as","Individual Utilities",15,112,83,1014,14,1,0.480077267823815,0.453870572147329,0.0434137670193849
"26","as","Shared Utilities",6,57,28,664,14,2,1.11047871818915,1.07323800194962,0.0718114591358363
