alignment,ba,bna,category,dnmalignment,nba,nbna,replierId,speakerId
2.0794415416798357,1,0,we,0.9090909090909091,0,10,GsXazheEWLkYZLQqv,ehFS23PQxCCDHHxyf
0.6931471805599454,1,3,with,0.6363636363636364,0,7,GsXazheEWLkYZLQqv,ehFS23PQxCCDHHxyf
0.33647223662121317,0,0,I'll,0.0,3,5,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
-0.04879016416943205,3,2,a,-0.025000000000000022,2,1,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.4054651081081644,0,1,all,-0.125,1,6,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.4054651081081644,0,1,as,-0.125,1,6,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.0,0,2,at,-0.25,1,5,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.4350845252893227,2,0,do,0.41666666666666663,1,5,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.6931471805599453,2,2,er,0.5,0,4,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,for,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.0,0,2,ha,-0.25,1,5,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.9162907318741552,4,1,he,0.375,0,3,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
-0.287682072451781,0,3,in,-0.375,1,4,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
-0.4054651081081645,1,2,it,-0.125,3,2,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,like,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,me,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
-0.06899287148695132,1,2,on,-0.041666666666666685,2,3,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
-0.06899287148695132,1,2,one,-0.041666666666666685,2,3,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,or,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,our,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,ours,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.0,0,2,that,-0.25,1,5,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.9162907318741552,4,1,the,0.375,0,3,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.6931471805599453,2,2,we,0.5,0,4,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
0.0,1,1,with,0.0,3,3,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
1.0986122886681098,0,0,ye,0.0,1,7,WADiGpeAEgWDqGFda,GsXazheEWLkYZLQqv
-1.0986122886681096,0,2,a,-0.25,4,2,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
-0.6931471805599452,0,1,all,-0.125,4,3,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
1.0986122886681098,0,0,er,0.0,1,7,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
0.6931471805599452,0,0,he,0.0,2,6,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
-0.7419373447293773,1,2,i,-0.175,4,1,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
0.6931471805599452,0,0,in,0.0,2,6,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
0.6931471805599452,0,0,on,0.0,2,6,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
0.6931471805599452,0,0,one,0.0,2,6,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
1.0986122886681098,0,0,ones,0.0,1,7,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
1.0986122886681098,0,0,the,0.0,1,7,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
1.0986122886681098,0,0,us,0.0,1,7,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
1.0986122886681098,0,0,we,0.0,1,7,WADiGpeAEgWDqGFda,ehFS23PQxCCDHHxyf
0.3184537311185349,0,0,I'll,0.0,6,9,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.07696104113612823,5,4,a,0.025000000000000022,3,3,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,ah,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.3158529494184771,3,4,all,0.1333333333333333,2,6,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,at,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,bit,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,bits,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.7731898882334818,0,0,do,0.0,4,11,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.5753641449035618,0,2,er,-0.13333333333333333,1,12,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
