gameId,finishedAt,createdAt,sequence,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength,pilot
KGzHLWpxZmZgGxzm5,2021-06-29T15:43:47Z,2021-06-29T15:20:39Z,"purple,yellow,red,white",4,coopCartel,langCollabPilot1,3,180,6,5,6,12,TRUE,0.15,TRUE,1388,TRUE
NbGRLF6NaB5p3vRrL,2021-07-02T21:02:34Z,2021-07-02T20:54:01Z,"red,purple,white,yellow",4,competCartel,nonlangCompetPilot3,3,180,6,5,6,12,TRUE,1.4,FALSE,512,TRUE
oSkTdT3gtJ3bYJjfy,2021-06-30T19:20:39Z,2021-06-30T18:56:03Z,"white,red,yellow,purple",4,competCartel,langCompetPilot3,3,180,6,5,6,12,TRUE,0.70001,TRUE,1475,TRUE
RdwHWS6HrfwADiadN,2021-06-30T17:56:33Z,2021-06-30T17:21:18Z,"yellow,red,white,purple",4,coopCartel,langCollabPilot2,3,180,6,5,6,12,TRUE,0.3,TRUE,2115,TRUE
S7SBYP8ab6RFccN9u,2021-06-29T15:55:09Z,2021-06-29T15:41:44Z,"red,purple,yellow,white",4,competCartel,langCompetPilot1,3,180,6,5,6,12,TRUE,0.5,TRUE,805,TRUE
SihDfEzMcyhNqCP46,2021-06-30T17:44:36Z,2021-06-30T17:10:07Z,"purple,red,white,yellow",4,coopCartel,langCollabPilot2,3,180,6,5,6,12,TRUE,0.3,TRUE,2068,TRUE
Srn7AwTSi5u2Fcxfw,2021-06-30T17:49:39Z,2021-06-30T17:12:49Z,"purple,red,white,yellow",4,coopCartel,langCollabPilot2,3,180,6,5,6,12,TRUE,0.3,TRUE,2210,TRUE
tktYnjcWXZA5nDn5H,2021-07-02T17:24:53Z,2021-07-02T17:12:10Z,"red,purple,white,yellow",4,coopCartel,nonlangCoopPilot3,3,180,6,5,6,12,TRUE,0.5001,FALSE,763,TRUE
WHQBGnm4d7f99N8pB,2021-06-30T20:25:33Z,2021-06-30T19:22:40Z,"purple,yellow,red,white",4,competCartel,langCompetPilot3,3,180,6,5,6,12,TRUE,0.70001,TRUE,3773,TRUE
x8qovfKBgsRQ5Shbf,2021-07-02T17:18:37Z,2021-07-02T17:09:29Z,"yellow,red,white,purple",4,coopCartel,nonlangCoopPilot3,3,180,6,5,6,12,TRUE,0.5001,FALSE,547,TRUE
yZRc7n9CNAk5Fu64B,2021-07-02T17:24:45Z,2021-07-02T17:14:59Z,"yellow,white,red,purple",4,coopCartel,nonlangCoopPilot3,3,180,6,5,6,12,TRUE,0.5001,FALSE,586,TRUE
