_id,index,stageIds,gameId,createdAt,data.context,data.repNum,data.blockNum,data.trialNum,data.numPlayers,data.chat,data.submitted,data.player_9MoiLRqn7HPwSqgrR_response,data.player_9MoiLRqn7HPwSqgrR_time,data.player_9MoiLRqn7HPwSqgrR_utility,data.player_Y7BwxwRbxbP6Rh8X2_response,data.player_Y7BwxwRbxbP6Rh8X2_time,data.player_Y7BwxwRbxbP6Rh8X2_utility,data.player_ibLuXBkRAXPSqC7y6_response,data.player_ibLuXBkRAXPSqC7y6_time,data.player_ibLuXBkRAXPSqC7y6_utility,data.player_3anrrcdtZ5d4PyStT_response,data.player_3anrrcdtZ5d4PyStT_time,data.player_3anrrcdtZ5d4PyStT_utility,data.player_SCnLaRWo7fh37cMg6_response,data.player_SCnLaRWo7fh37cMg6_time,data.player_SCnLaRWo7fh37cMg6_utility,data.player_aMMzXKuy8u6TmtYrN_response,data.player_aMMzXKuy8u6TmtYrN_time,data.player_aMMzXKuy8u6TmtYrN_utility,data.player_68Tew82Qq7SXmNPZT_response,data.player_68Tew82Qq7SXmNPZT_time,data.player_68Tew82Qq7SXmNPZT_utility,data.player_aGof5GaMDuQM25xSc_response,data.player_aGof5GaMDuQM25xSc_time,data.player_aGof5GaMDuQM25xSc_utility,data.player_rdy8pn4MpwgznGpRK_response,data.player_rdy8pn4MpwgznGpRK_time,data.player_rdy8pn4MpwgznGpRK_utility,data.player_Pi9atkCehFgDr8aYN_response,data.player_Pi9atkCehFgDr8aYN_time,data.player_Pi9atkCehFgDr8aYN_utility,data.player_aGBRxJQY2FY2k3vvR_response,data.player_aGBRxJQY2FY2k3vvR_time,data.player_aGBRxJQY2FY2k3vvR_utility,data.player_rJfqdnPq2hfdwWdLL_response,data.player_rJfqdnPq2hfdwWdLL_time,data.player_rJfqdnPq2hfdwWdLL_utility,data.player_AuDmJeBi8t7fuKPx7_response,data.player_AuDmJeBi8t7fuKPx7_time,data.player_AuDmJeBi8t7fuKPx7_utility,data.player_HwoMovMdHJmbAckv9_response,data.player_HwoMovMdHJmbAckv9_time,data.player_HwoMovMdHJmbAckv9_utility,data.player_Z4kfRmvwLM6cr47LT_response,data.player_Z4kfRmvwLM6cr47LT_time,data.player_Z4kfRmvwLM6cr47LT_utility,data.player_F9bv4zMkmYKaXyf9N_response,data.player_F9bv4zMkmYKaXyf9N_time,data.player_F9bv4zMkmYKaXyf9N_utility,data.player_GcddPKwivL4JFWX6r_response,data.player_GcddPKwivL4JFWX6r_time,data.player_GcddPKwivL4JFWX6r_utility,data.player_GjboTxjwCnTi4WEWM_response,data.player_GjboTxjwCnTi4WEWM_time,data.player_GjboTxjwCnTi4WEWM_utility,data.player_3ASftqExPSXeJJA23_response,data.player_3ASftqExPSXeJJA23_time,data.player_3ASftqExPSXeJJA23_utility,data.player_AAKp4BwY6iiD2nkBF_response,data.player_AAKp4BwY6iiD2nkBF_time,data.player_AAKp4BwY6iiD2nkBF_utility,data.player_YRXAcJsKMD4NrXF4h_response,data.player_YRXAcJsKMD4NrXF4h_time,data.player_YRXAcJsKMD4NrXF4h_utility,data.player_CS4GSXSEz58nvL3i7_response,data.player_CS4GSXSEz58nvL3i7_time,data.player_CS4GSXSEz58nvL3i7_utility,data.player_Jm4BKLLPKhhmWfeGh_response,data.player_Jm4BKLLPKhhmWfeGh_time,data.player_Jm4BKLLPKhhmWfeGh_utility,data.player_WFjQ5udMzgWg34aWz_response,data.player_WFjQ5udMzgWg34aWz_time,data.player_WFjQ5udMzgWg34aWz_utility,data.player_LobtN9LAFzJDcwYX3_response,data.player_LobtN9LAFzJDcwYX3_time,data.player_LobtN9LAFzJDcwYX3_utility,data.player_Q9bESc8hgPYqnzx2v_response,data.player_Q9bESc8hgPYqnzx2v_time,data.player_Q9bESc8hgPYqnzx2v_utility,data.player_ysMH6WmAmuTADCu5b_response,data.player_ysMH6WmAmuTADCu5b_time,data.player_ysMH6WmAmuTADCu5b_utility,data.player_DSWYfiXRWqEQM8SwB_response,data.player_DSWYfiXRWqEQM8SwB_time,data.player_DSWYfiXRWqEQM8SwB_utility,data.player_Pk2f6o9n4Pfqbuf6G_response,data.player_Pk2f6o9n4Pfqbuf6G_time,data.player_Pk2f6o9n4Pfqbuf6G_utility,data.player_eWmchrWjpfx42wxKm_response,data.player_eWmchrWjpfx42wxKm_time,data.player_eWmchrWjpfx42wxKm_utility
uCsR4iMcR5hAyJjj9,0,"nPfjxbQoYYzqJNpHC,v2T43Jkjpi6TsYF2u",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_5"":{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",0,0,0,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479722662},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479723396},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479732568}",false,red_6,4656,8.333333333333334,red_7,5366,8.333333333333334,red_4,14556,8.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbLnEnPRstTafavk3,1,"6fHnoFY6E3R82fDvp,AcWw2fvgqz98nDmwT",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",1,0,1,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479737460},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479742445},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479739651}",false,red_6,2569,7,red_9,4758,7,red_12,7547,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gSFY27zzQxgHG8B3R,2,"pmozPvEkogtbtM8eC,Sd4rD9YaaKuNpRb77",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",2,0,2,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479748293},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479748116},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479753653}",false,red_6,2396,4,red_4,2219,4,red_6,7754,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sJs8ptj3wnxbNyX4s,3,"mkrmHr5KqeQ7yb2h8,Eq83qowp34GABkQKP",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",3,0,3,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479758600},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479758746},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479762911}",false,red_12,2698,2.6666666666666665,red_12,2842,2.6666666666666665,red_6,7007,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pRJb2E2H2a2DeSMTZ,4,"jcJxPBxEZnkcQ4Esu,GMpftBYRNW6nb7obo",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",4,0,4,3,"{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479767944},{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479768339},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479772558}",false,red_8,2427,5.333333333333333,red_6,2032,5.333333333333333,red_8,6644,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cq5pE3cjfrHbRDyop,5,"qaxxdCDBHwRj35pmH,ZuNmxt9xde83ptpg6",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",5,0,5,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479777041},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479780933},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479777167}",false,red_4,2141,6.333333333333333,red_9,2266,6.333333333333333,red_12,6031,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9FFYCHzn8kTaiiqg,6,"PBMmY7PX8bGHFxtGC,qyttJGoFPb9qHpHhw",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",0,1,6,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479785576},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479785529},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479790813}",false,red_9,1659,2.3333333333333335,red_8,1612,2.3333333333333335,red_9,6894,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maatG3Dt4S9rRG6DQ,7,"BPiadEg9eqG59bkJD,sXG37C25frkfSndBn",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",1,1,7,3,"{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479794502},{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479794902},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479799115}",false,red_6,1928,5.333333333333333,red_9,1526,5.333333333333333,red_6,6139,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuu6QqpcXdHCc2cuv,8,"fKiA5JKRjBoxpuJcp,MAJQB4yjB7u5mhq9f",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",2,1,8,3,"{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479803561},{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479803910},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479808981}",false,red_12,1640,9,red_11,1988,9,red_2,7058,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5DZXGjPdc8Q99gmDc,9,"EEnZaY6kfNEKS5WRF,8pwKowxPZrikahFtm",hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""ibLuXBkRAXPSqC7y6""},""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""9MoiLRqn7HPwSqgrR""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""Y7BwxwRbxbP6Rh8X2""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""ibLuXBkRAXPSqC7y6""}}",3,1,9,3,"{""text"":null,""playerId"":""Y7BwxwRbxbP6Rh8X2"",""type"":""selectionAlert"",""time"":1629479813307},{""text"":null,""playerId"":""9MoiLRqn7HPwSqgrR"",""type"":""selectionAlert"",""time"":1629479813834},{""text"":null,""playerId"":""ibLuXBkRAXPSqC7y6"",""type"":""selectionAlert"",""time"":1629479818649}",false,red_10,1927,9,red_9,1397,9,red_6,6740,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
