_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
6wz7WJT36n9a9LLyT,,2021-07-22T16:00:51Z,2021-07-22T16:00:51Z,1,ExitSurvey,2021-07-22T16:31:19Z,finished,,,,2021-07-22T15:56:51Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.144000000000002,purple_4,1322,"purple_4,purple_7,purple_9,purple_12,purple_1,purple_10",0.15466666666666667,3,9.666666666666666,,
E2NxiiQEovbyu6GjY,,2021-07-22T16:14:26Z,2021-07-22T16:14:26Z,1,ExitSurvey,2021-07-22T16:57:22Z,finished,,,,2021-07-22T15:56:57Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.600000000000002,white_8,2750,"white_12,white_11,white_1,white_8,white_10,white_7",0.09600000000000002,2,6,,
6a7QqeLo4d5qZ6S3k,,,,,"Sorry,ExitSurvey",2021-07-22T16:16:33Z,gameFull,,,,2021-07-22T15:56:58Z,,,,,,,,,,,,
GQuhD2x8bMRWSBQGy,,2021-07-22T16:06:06Z,2021-07-22T16:06:06Z,1,ExitSurvey,2021-07-22T16:42:26Z,finished,,,,2021-07-22T15:56:58Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.282666666666669,purple_6,69264,"purple_6,purple_8,purple_2,purple_12,purple_4,purple_5",0.16533333333333336,3,10.333333333333334,,
uSPKDrXEHgytxTJyr,,2021-07-22T16:03:31Z,2021-07-22T16:03:31Z,1,ExitSurvey,2021-07-22T16:17:52Z,finished,,,,2021-07-22T15:56:59Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.30666666666667,purple_6,2772,"purple_8,purple_11,purple_12,purple_9,purple_6,purple_10",0.09600000000000002,3,6,,
emrz5kJaF4bp9A2kr,,2021-07-22T16:12:00Z,2021-07-22T16:12:00Z,1,ExitSurvey,2021-07-22T16:24:05Z,finished,,,,2021-07-22T15:57:03Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.344,yellow_11,791,"yellow_11,yellow_12,yellow_10,yellow_2,yellow_8,yellow_7",0.12266666666666667,3,7.666666666666667,,
YQjDHrqWeDNWFT4sz,,2021-07-22T16:07:21Z,2021-07-22T16:07:21Z,1,ExitSurvey,2021-07-22T16:18:11Z,finished,,,,2021-07-22T15:57:07Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.056000000000002,white_7,1337,"white_2,white_1,white_10,white_6,white_7,white_12",0.09600000000000002,2,6,,
9RwFog2fYgA9d4GmW,,2021-07-22T16:04:17Z,2021-07-22T16:04:17Z,1,ExitSurvey,2021-07-22T16:42:26Z,finished,,,,2021-07-22T15:57:12Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.282666666666669,purple_8,75644,"purple_5,purple_4,purple_2,purple_8,purple_6,purple_12",0.16533333333333336,3,10.333333333333334,,
CH3TWNgG4nMXE5EiZ,,,,,,2021-07-22T16:16:33Z,gameFull,,,,2021-07-22T15:57:14Z,,,,,,,,,,,,
T2vfofNpshyQLhmFY,,,,,,2021-07-22T16:16:33Z,gameFull,,,,2021-07-22T15:57:20Z,,,,,,,,,,,,
7MaJPqHAXtKsFsWEk,,2021-07-22T16:05:29Z,2021-07-22T16:05:29Z,1,ExitSurvey,2021-07-22T16:42:26Z,finished,,,,2021-07-22T15:57:20Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.282666666666669,purple_5,74284,"purple_6,purple_4,purple_12,purple_8,purple_5,purple_2",0.16533333333333336,3,10.333333333333334,,
vmBBxmxGnFG23hzfq,,2021-07-22T16:03:58Z,2021-07-22T16:03:58Z,1,ExitSurvey,2021-07-22T16:17:52Z,finished,,,,2021-07-22T15:57:38Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.30666666666667,purple_11,12504,"purple_12,purple_9,purple_10,purple_6,purple_8,purple_11",0.09600000000000002,3,6,,
6hccXQEeP2yTxwhkq,,2021-07-22T16:00:56Z,2021-07-22T16:00:56Z,1,ExitSurvey,2021-07-22T16:37:57Z,finished,,,,2021-07-22T15:57:53Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.314666666666668,purple_12,23989,"purple_2,purple_10,purple_12,purple_9,purple_7,purple_6",0.16,3,10,,
82QGt7wBFt3Sj38Td,,2021-07-22T16:13:00Z,2021-07-22T16:13:00Z,1,ExitSurvey,2021-07-22T16:24:05Z,finished,,,,2021-07-22T15:58:27Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.344,yellow_12,4021,"yellow_10,yellow_12,yellow_11,yellow_7,yellow_8,yellow_2",0.12266666666666667,3,7.666666666666667,,
dEMMFa9z9twnnqQSW,,2021-07-22T16:09:00Z,2021-07-22T16:09:00Z,1,ExitSurvey,2021-07-22T16:18:11Z,finished,,,,2021-07-22T15:58:38Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.056000000000002,white_7,2074,"white_2,white_10,white_1,white_6,white_12,white_7",0.09600000000000002,2,6,,
