Sad,Anger,Anx,Negemo,Posemo,,,Swear
,,,anxiety,,,,
,,,apathy,,,,
,,,appalling,,,,
,,,appall,,,,
,,,appalls,,,,
,,,apprehensive,,,,
,,,argh,,,,
,,,argue,,,,
,,,argues,,,,
,,,arguing,,,,
,,,argument,,,,
,,,arrogant,,,,
,,,arrogance,,,,
,,,ashame,,,,
,,,ashamed,,,,
,,,assault,,,,
,,,asshole,,,,
,,,attack,,,,
,,,attacks,,,,
,,,attacking,,,,
,,,attacked,,,,
,,,aversity,,,,
,,,avoid,,,,
,,,avoidance,,,,
,,,avoided,,,,
,,,avoids,,,,
,,,avoiding,,,,
,,,awkward,,,,
,,,bashful,,,,
,,,bastard,,,,
,,,battle,,,,
,,,bitch,,,,
,,,bitter,,,,
,,,bitches,,,,
,,,battles,,,,
,,,blame,,,,
,,,bore,,,,
,,,bother,,,,
,,,blames,,,,
,,,blamed,,,,
,,,blaming,,,,
,,,bothering,,,,
,,,boredom,,,,
,,,bored,,,,
,,,brutal,,,,
,,,brutality,,,,
,,,burden,,,,
,,,careless,,,,
,,,cheat,,,,
,,,complain,,,,
,,,complaint,,,,
,,,complains,,,,
,,,complained,,,,
,,,complaining,,,,
,,,confront,,,,
,,,confuse,,,,
,,,confusion,,,,
,,,confusing,,,,
,,,contempt,,,,
,,,contradict,,,,
,,,contradiction,,,,
,,,contradicting,,,,
,,,contradicts,,,,
,,,crazy,,,,
,,,craziness,,,,
,,,criticism,,,,
,,,crude,,,,
,,,cruel,,,,
,,,cunt,,,,
,,,cynic,,,,
,,,damage,,,,
,,,damaging,,,,
,,,damages,,,,
,,,damaged,,,,
,,,damned,,,,
,,,danger,,,,
,,,dangerous,,,,
,,,daze,,,,
,,,damn,,,,
,,,decay,,,,
,,,dismay,,,,
,,,defeat,,,,
,,,defect,,,,
,,,defence,,,,
,,,defense,,,,
,,,degrade,,,,
,,,depress,,,,
,,,deprive,,,,
,,,despair,,,,
,,,desperate,,,,
,,,despise,,,,
,,,destroy,,,,
,,,destruct,,,,
,,,devastate,,,,
,,,devil,,,,
,,,difficult,,,,
,,,disadvantage,,,,
,,,disagree,,,,
,,,disappoint,,,,
,,,disaster,,,,
,,,discomfort,,,,
,,,discourage,,,,
,,,disgust,,,,
,,,dishearten,,,,
,,,disillusion,,,,
,,,distress,,,,
,,,distrust,,,,
,,,disturb,,,,
,,,dominant,,,,
,,,doom,,,,
,,,dork,,,,
,,,doubt,,,,
,,,dread,,,,
,,,dull,,,,
,,,dump,,,,
,,,dwell,,,,
,,,egotism,,,,
,,,embarrass,,,,
,,,empty,,,,
,,,enemie,,,,
,,,enemy,,,,
,,,defeated,,,,
,,,degrading,,,,
,,,depressive,,,,
,,,deprived,,,,
,,,destructive,,,,
,,,destruction,,,,
,,,devastating,,,,
,,,devastated,,,,
,,,dissappointment,,,,
,,,discouraging,,,,
,,,disturbing,,,,
,,,embarassing,,,,
,,,embarassment,,,,
,,,enrage,,,,
