Sad,Anger,Anx,Negemo,Posemo,,,Swear
,,,fucked,,,,
,,,fucker,,,,
,,,fucking,,,,
,,,fuckin,,,,
,,,fume,,,,
,,,furious,,,,
,,,geek,,,,
,,,geek,,,,
,,,gloom,,,,
,,,goddam,,,,
,,,goddamn,,,,
,,,gossip,,,,
,,,gossips,,,,
,,,gossiping,,,,
,,,grave,,,,
,,,greed,,,,
,,,greedy,,,,
,,,grieve,,,,
,,,grieving,,,,
,,,grim,,,,
,,,gross,,,,
,,,grouch,,,,
,,,grr,,,,
,,,grrr,,,,
,,,guilt,,,,
,,,guilty,,,,
,,,harass,,,,
,,,harassment,,,,
,,,harasses,,,,
,,,harassing,,,,
,,,harassed,,,,
,,,harmful,,,,
,,,hateful,,,,
,,,hater,,,,
,,,hater,,,,
,,,heartbreak,,,,
,,,heartbroken,,,,
,,,heartless,,,,
,,,helpless,,,,
,,,hesitate,,,,
,,,hesitant,,,,
,,,hesitate,,,,
,,,hesitated,,,,
,,,hesitating,,,,
,,,hopeless,,,,
,,,hopelessness,,,,
,,,hopelessly,,,,
,,,homesick,,,,
,,,homesickness,,,,
,,,horror,,,,
,,,hostile,,,,
,,,humiliate,,,,
,,,humiliating,,,,
,,,humiliated,,,,
,,,humiliation,,,,
,,,hurt,,,,
,,,ignore,,,,
,,,ignorant,,,,
,,,ignoring,,,,
,,,ignores,,,,
,,,ignored,,,,
,,,immoral,,,,
,,,impatient,,,,
,,,impatience,,,,
,,,impolite,,,,
,,,inadequate,,,,
,,,indecisive,,,,
,,,ineffective,,,,
,,,inferior,,,,
,,,inferiority,,,,
,,,inhibit,,,,
,,,inhibition,,,,
,,,insecure,,,,
,,,inhibited,,,,
,,,inhibits,,,,
,,,inhibiting,,,,
,,,insecurity,,,,
,,,intimidate,,,,
,,,intimidating,,,,
,,,intimidated,,,,
,,,irrational,,,,
,,,irritate,,,,
,,,irritating,,,,
,,,irritates,,,,
,,,irritated,,,,
,,,isolate,,,,
,,,isolated,,,,
,,,isolating,,,,
,,,isolation,,,,
,,,jealous,,,,
,,,jealousy,,,,
,,,kill,,,,
,,,killed,,,,
,,,kills,,,,
,,,killer,,,,
,,,lame,,,,
,,,lazie,,,,
,,,liability,,,,
,,,liabilities,,,,
,,,liar,,,,
,,,liars,,,,
,,,lone,,,,
,,,lonely,,,,
,,,loneliness,,,,
,,,longing,,,,
,,,loser,,,,
,,,losers,,,,
,,,loss,,,,
,,,lousy,,,,
,,,low,,,,
,,,lower,,,,
,,,luckless,,,,
,,,ludicrous,,,,
,,,maniac,,,,
,,,maniacs,,,,
,,,masochist,,,,
,,,masochists,,,,
,,,melancholy,,,,
,,,melancholic,,,,
,,,misery,,,,
,,,miserable,,,,
,,,mistake,,,,
,,,mistaken,,,,
,,,mockery,,,,
,,,molest,,,,
,,,molesty,,,,
,,,mooch,,,,
,,,moodi,,,,
,,,moron,,,,
,,,morons,,,,
,,,mourn,,,,
,,,mouring,,,,
,,,mourns,,,,
,,,mourned,,,,
,,,murder,,,,
,,,murderer,,,,
,,,nag,,,,
,,,nagging,,,,
,,,nasty,,,,
,,,neglect,,,,
,,,neglected,,,,
,,,neglecting,,,,
,,,neglects,,,,
,,,nerd,,,,
,,,nerds,,,,
,,,nervous,,,,
,,,neurotic,,,,
,,,numb,,,,
,,,obnoxious,,,,
,,,obsess,,,,
,,,obsessed,,,,
,,,obsession,,,,
,,,offence,,,,
,,,offend,,,,
,,,offends,,,,
,,,offended,,,,
,,,offensive,,,,
,,,outrage,,,,
,,,ourageous,,,,
,,,overwhelm,,,,
,,,overwhelming,,,,
,,,overwhelmed,,,,
,,,overwhelming,,,,
,,,overwhelms,,,,
,,,painful,,,,
,,,panic,,,,
,,,paranoia,,,,
,,,paranoic,,,,
,,,pathetic,,,,
,,,peculiar,,,,
,,,peculiarity,,,,
,,,pervert,,,,
,,,pessimist,,,,
,,,pessimism,,,,
,,,pessimists,,,,
,,,pessimistic,,,,
,,,pettie,,,,
,,,petrify,,,,
,,,petrified,,,,
,,,petrifies,,,,
,,,petrifying,,,,
,,,petty,,,,
,,,phobia,,,,
,,,phobic,,,,
,,,piss,,,,
,,,pissed,,,,
,,,pity,,,,
,,,poison,,,,
,,,poisonous,,,,
,,,poisoning,,,,
,,,prejudice,,,,
,,,pressure,,,,
,,,pressured,,,,
,,,prick,,,,
,,,problem,,,,
,,,problematic,,,,
,,,problems,,,,
,,,puke,,,,
,,,punish,,,,
,,,punishment,,,,
,,,punishes,,,,
,,,punishing,,,,
,,,rage,,,,
,,,rancid,,,,
,,,rape,,,,
,,,rapist,,,,
,,,rapists,,,,
,,,rebel,,,,
,,,rebellion,,,,
,,,reek,,,,
,,,regret,,,,
,,,regrets,,,,
,,,reject,,,,
,,,rejected,,,,
,,,rejecting,,,,
,,,rejection,,,,
,,,rejects,,,,
,,,reluctant,,,,
,,,reluctance,,,,
,,,remorse,,,,
,,,repressive,,,,
,,,remorseful,,,,
,,,resent,,,,
,,,resign,,,,
,,,restless,,,,
,,,revenge,,,,
,,,ridicule,,,,
,,,rigid,,,,
,,,risk,,,,
,,,risky,,,,
,,,rude,,,,
,,,ruin,,,,
,,,ruined,,,,
,,,ruins,,,,
,,,ruining,,,,
,,,sadde,,,,
,,,sarcasm,,,,
,,,sarcastic,,,,
,,,savage,,,,
,,,scare,,,,
,,,scary,,,,
,,,scared,,,,
,,,sceptic,,,,
,,,scream,,,,
,,,screams,,,,
,,,screaming,,,,
,,,screamed,,,,
,,,screw,,,,
,,,screwed,,,,
,,,screwing,,,,
,,,selfish,,,,
,,,selfishness,,,,
,,,severe,,,,
,,,shake,,,,
,,,shaking,,,,
,,,shameful,,,,
,,,shameless,,,,
,,,shame,,,,
,,,shit,,,,
,,,shock,,,,
,,,shocking,,,,
,,,shocked,,,,
,,,shy,,,,
,,,sicken,,,,
,,,sickening,,,,
,,,skeptic,,,,
,,,slut,,,,
,,,smother,,,,
,,,smothering,,,,
,,,smug,,,,
,,,snob,,,,
,,,solemn,,,,
,,,sorrow,,,,
,,,solemnly,,,,
,,,spite,,,,
,,,stammer,,,,
,,,startle,,,,
,,,startling,,,,
,,,startled,,,,
,,,startles,,,,
,,,steal,,,,
,,,stealing,,,,
,,,steals,,,,
,,,stole,,,,
,,,stolen,,,,
,,,stench,,,,
,,,stink,,,,
,,,stinks,,,,
,,,stinking,,,,
,,,strain,,,,
,,,stress,,,,
,,,stressful,,,,
,,,stressed,,,,
,,,struggle,,,,
,,,struggling,,,,
,,,struggles,,,,
,,,stubborn,,,,
,,,stupid,,,,
,,,stupidity,,,,
,,,stutter,,,,
,,,stutters,,,,
,,,stuttering,,,,
,,,submissive,,,,
,,,sucker,,,,
,,,sufferer,,,,
,,,suspicious,,,,
,,,tantrum,,,,
,,,tease,,,,
,,,teaser,,,,
,,,tense,,,,
,,,tension,,,,
,,,terrible,,,,
,,,terribly,,,,
,,,terror,,,,
,,,thieve,,,,
,,,thieves,,,,
,,,threat,,,,
,,,threaten,,,,
,,,threatening,,,,
,,,threatens,,,,
,,,threatened,,,,
,,,timid,,,,
,,,torture,,,,
,,,tough,,,,
,,,toughen,,,,
,,,tragedy,,,,
,,,tragic,,,,
,,,trauma,,,,
,,,traumatic,,,,
,,,tremble,,,,
,,,trick,,,,
,,,tricks,,,,
,,,tricky,,,,
,,,trivial,,,,
,,,trouble,,,,
,,,ugly,,,,
,,,uncertain,,,,
,,,uncertainty,,,,
,,,uncomfortable,,,,
,,,uncontrol,,,,
,,,uneasy,,,,
,,,unfortunate,,,,
,,,unfortunately,,,,
,,,ungrateful,,,,
,,,unhappy,,,,
,,,unimpressed,,,,
,,,unimpressive,,,,
,,,unlove,,,,
,,,unloving,,,,
,,,unsavory,,,,
,,,unsuccessful,,,,
,,,unsure,,,,
,,,unwelcome,,,,
,,,uptight,,,,
,,,upset,,,,
,,,upsetting,,,,
,,,upsets,,,,
,,,useless,,,,
,,,vicious,,,,
,,,victim,,,,
,,,villain,,,,
,,,violate,,,,
,,,villainy,,,,
,,,violated,,,,
,,,violating,,,,
,,,violates,,,,
,,,vulnerable,,,,
,,,vulnerability,,,,
,,,vulture,,,,
,,,warfare,,,,
,,,weak,,,,
,,,weapon,,,,
,,,weapons,,,,
,,,weep,,,,
,,,weeping,,,,
,,,weeps,,,,
,,,weird,,,,
,,,whine,,,,
,,,whore,,,,
,,,wicked,,,,
,,,wimp,,,,
,,,woe,,,,
,,,worry,,,,
,,,worrying,,,,
,,,worries,,,,
,,,worried,,,,
,,,worse,,,,
,,,worthless,,,,
,,,wrong,,,,
,,,yearn,,,,
,,,abandon,,,,
,,,abandoned,,,,
,,,abuse,,,,
,,,abuses,,,,
,,,abused,,,,
,,,abusive,,,,
,,,ache,,,,
,,,adverse,,,,
,,,adversity,,,,
,,,aggravate,,,,
,,,aggravating,,,,
,,,aggressive,,,,
,,,aggression,,,,
,,,agitate,,,,
,,,agitated,,,,
,,,agitating,,,,
,,,agonize,,,,
,,,agonizing,,,,
,,,alarm,,,,
,,,alarmed,,,,
,,,alarms,,,,
,,,anger,,,,
,,,angry,,,,
,,,anguish,,,,
,,,annoy,,,,
,,,annoying,,,,
,,,annoyed,,,,
,,,antagonize,,,,
,,,antagonizing,,,,
,,,anxious,,,,
