_id,index,stageIds,gameId,createdAt,data.context,data.repNum,data.blockNum,data.trialNum,data.numPlayers,data.chat,data.submitted,data.player_YyHKq9EYbJumA3ANL_response,data.player_YyHKq9EYbJumA3ANL_time,data.player_YyHKq9EYbJumA3ANL_utility,data.player_n9GBgFk6Hxa9zipd7_response,data.player_n9GBgFk6Hxa9zipd7_time,data.player_n9GBgFk6Hxa9zipd7_utility,data.player_qNNHZG4JCrXM4zqZq_response,data.player_qNNHZG4JCrXM4zqZq_time,data.player_qNNHZG4JCrXM4zqZq_utility,data.player_PBJ9wLDgHHcrw4bQD_response,data.player_PBJ9wLDgHHcrw4bQD_time,data.player_PBJ9wLDgHHcrw4bQD_utility,data.player_e9qSnb4XLQTbZgEkQ_response,data.player_e9qSnb4XLQTbZgEkQ_time,data.player_e9qSnb4XLQTbZgEkQ_utility,data.player_opJZBAegrZBTBgahz_response,data.player_opJZBAegrZBTBgahz_time,data.player_opJZBAegrZBTBgahz_utility,data.player_aZ4LjhRDtYDMe6Mp7_response,data.player_aZ4LjhRDtYDMe6Mp7_time,data.player_aZ4LjhRDtYDMe6Mp7_utility,data.player_d5YFZ82ezNvBdjX8D_response,data.player_d5YFZ82ezNvBdjX8D_time,data.player_d5YFZ82ezNvBdjX8D_utility,data.player_hYn4YgbBpPcGAQYgK_response,data.player_hYn4YgbBpPcGAQYgK_time,data.player_hYn4YgbBpPcGAQYgK_utility,data.player_DzW5A3BKQz6yD5bAn_response,data.player_DzW5A3BKQz6yD5bAn_time,data.player_DzW5A3BKQz6yD5bAn_utility,data.player_ZxRrvBffD6DbPajeA_response,data.player_ZxRrvBffD6DbPajeA_time,data.player_ZxRrvBffD6DbPajeA_utility,data.player_wZm8oTPGLXW6t98qP_response,data.player_wZm8oTPGLXW6t98qP_time,data.player_wZm8oTPGLXW6t98qP_utility,data.player_LAYJsd5Lr7o9FAm4t_response,data.player_LAYJsd5Lr7o9FAm4t_time,data.player_LAYJsd5Lr7o9FAm4t_utility,data.player_duYYpzofm6fYRjBsS_response,data.player_duYYpzofm6fYRjBsS_time,data.player_duYYpzofm6fYRjBsS_utility,data.player_kqGapafwDf7kdgxEP_response,data.player_kqGapafwDf7kdgxEP_time,data.player_kqGapafwDf7kdgxEP_utility,data.player_XhNyocPsCc5jyxym2_response,data.player_XhNyocPsCc5jyxym2_time,data.player_XhNyocPsCc5jyxym2_utility,data.player_ga7mdcuNmWBHAoR9k_response,data.player_ga7mdcuNmWBHAoR9k_time,data.player_ga7mdcuNmWBHAoR9k_utility,data.player_jgkvxoeQGQNM3PduY_response,data.player_jgkvxoeQGQNM3PduY_time,data.player_jgkvxoeQGQNM3PduY_utility,data.player_MWdc5C6Rqz7rCartu_response,data.player_MWdc5C6Rqz7rCartu_time,data.player_MWdc5C6Rqz7rCartu_utility,data.player_Ngb2MQcFPDdE425hz_response,data.player_Ngb2MQcFPDdE425hz_time,data.player_Ngb2MQcFPDdE425hz_utility,data.player_TFC5ZPh7SSsrqs4vn_response,data.player_TFC5ZPh7SSsrqs4vn_time,data.player_TFC5ZPh7SSsrqs4vn_utility,data.player_BCnyrHFnDe2BEr3dN_response,data.player_BCnyrHFnDe2BEr3dN_time,data.player_BCnyrHFnDe2BEr3dN_utility,data.player_Gf7jHjgxd3hSA8G6E_response,data.player_Gf7jHjgxd3hSA8G6E_time,data.player_Gf7jHjgxd3hSA8G6E_utility,data.player_aJe45NbcSwEyoPHiK_response,data.player_aJe45NbcSwEyoPHiK_time,data.player_aJe45NbcSwEyoPHiK_utility,data.player_DyLQQyB58rtLJ8bot_response,data.player_DyLQQyB58rtLJ8bot_time,data.player_DyLQQyB58rtLJ8bot_utility,data.player_E9XByhsbpFkwxdPBJ_response,data.player_E9XByhsbpFkwxdPBJ_time,data.player_E9XByhsbpFkwxdPBJ_utility,data.player_LTs2tnjRZmH9NYkXv_response,data.player_LTs2tnjRZmH9NYkXv_time,data.player_LTs2tnjRZmH9NYkXv_utility,data.player_DpAafj8fY9zYqBDrt_response,data.player_DpAafj8fY9zYqBDrt_time,data.player_DpAafj8fY9zYqBDrt_utility,data.player_iRrdmcGkkYcNPzr8M_response,data.player_iRrdmcGkkYcNPzr8M_time,data.player_iRrdmcGkkYcNPzr8M_utility,data.player_yQF4oZdZAsmS3yNiJ_response,data.player_yQF4oZdZAsmS3yNiJ_time,data.player_yQF4oZdZAsmS3yNiJ_utility,data.player_J4r6Sgiyiv6GaE4w8_response,data.player_J4r6Sgiyiv6GaE4w8_time,data.player_J4r6Sgiyiv6GaE4w8_utility,data.player_gEWrSTxqnhsBmLCRC_response,data.player_gEWrSTxqnhsBmLCRC_time,data.player_gEWrSTxqnhsBmLCRC_utility,data.player_uYJYEi4uCvmvaswYa_response,data.player_uYJYEi4uCvmvaswYa_time,data.player_uYJYEi4uCvmvaswYa_utility,data.player_odNTGwKGZuTEr3ruF_response,data.player_odNTGwKGZuTEr3ruF_time,data.player_odNTGwKGZuTEr3ruF_utility,data.player_qGkNWcXfDCrofhKcj_response,data.player_qGkNWcXfDCrofhKcj_time,data.player_qGkNWcXfDCrofhKcj_utility,data.player_w2TfbfFTrf9LJh6hd_response,data.player_w2TfbfFTrf9LJh6hd_time,data.player_w2TfbfFTrf9LJh6hd_utility,data.player_EFYiQE7m9XjB6jRSx_response,data.player_EFYiQE7m9XjB6jRSx_time,data.player_EFYiQE7m9XjB6jRSx_utility,data.player_uFitMpNHuQNeyLReG_response,data.player_uFitMpNHuQNeyLReG_time,data.player_uFitMpNHuQNeyLReG_utility,data.player_uMSWDuRBXmDSREcrn_response,data.player_uMSWDuRBXmDSREcrn_time,data.player_uMSWDuRBXmDSREcrn_utility,data.player_7hqPQd4z7K3puDdS4_response,data.player_7hqPQd4z7K3puDdS4_time,data.player_7hqPQd4z7K3puDdS4_utility,data.player_Ci4KgAcHF2SSLgkKo_response,data.player_Ci4KgAcHF2SSLgkKo_time,data.player_Ci4KgAcHF2SSLgkKo_utility,data.player_eP5tq28Zot8RGtYhS_response,data.player_eP5tq28Zot8RGtYhS_time,data.player_eP5tq28Zot8RGtYhS_utility,data.player_CmDp4MQc6SSbhG2a8_response,data.player_CmDp4MQc6SSbhG2a8_time,data.player_CmDp4MQc6SSbhG2a8_utility,data.player_GFnhDfuf4wjiqSDLb_response,data.player_GFnhDfuf4wjiqSDLb_time,data.player_GFnhDfuf4wjiqSDLb_utility,data.player_x8arsoyjNtTuaMBqT_response,data.player_x8arsoyjNtTuaMBqT_time,data.player_x8arsoyjNtTuaMBqT_utility,data.player_MExwfaN7nb5cYvdwJ_response,data.player_MExwfaN7nb5cYvdwJ_time,data.player_MExwfaN7nb5cYvdwJ_utility,data.player_uGLajg549xfTiNqor_response,data.player_uGLajg549xfTiNqor_time,data.player_uGLajg549xfTiNqor_utility,data.player_ybN3MNYRF5QENqn3f_response,data.player_ybN3MNYRF5QENqn3f_time,data.player_ybN3MNYRF5QENqn3f_utility,data.player_3KGbH4dqGD4h24pRM_response,data.player_3KGbH4dqGD4h24pRM_time,data.player_3KGbH4dqGD4h24pRM_utility,data.player_j9M9EbWB57iQvkBoK_response,data.player_j9M9EbWB57iQvkBoK_time,data.player_j9M9EbWB57iQvkBoK_utility,data.player_sdTyAbNRDZTCLJSo8_response,data.player_sdTyAbNRDZTCLJSo8_time,data.player_sdTyAbNRDZTCLJSo8_utility
uZ4KhG8JweH9Nv8Sf,0,"oNmKXjumwfRtoo48k,CjBFryiHTd3GPAp5q",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_5"":{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",0,0,0,3,"{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":""ill have the pink with yellow tips"",""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""message""},{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_12,26063,2,red_1,42727,5,red_1,13791,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sHgip7AmTgXmk5MTj,1,"NG7woDmPkezpMMKwB,TZby4opTGYW2uxbAp",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_5"":{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",1,0,1,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":""i'll take the red and yellow"",""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""message""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_7,4579,4,red_3,33401,11,red_9,22451,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5T2LZr4rmxKBsMv6S,2,"6u9Yn7LFYsHXdjpAQ,yAje8ToMmBHJEecv4",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",2,0,2,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_2,3402,5,red_4,17300,9,red_11,12492,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4Bh7dwq6MtqCrPbA,3,"qfGbqM5BhmnkYQNGM,Pq5nhF956huiDywvC",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_5"":{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",3,0,3,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""}",false,red_10,2570,3,red_3,6883,5.5,red_3,9516,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGLScBimxiSZXivdx,4,"SmmxaSsB7cP7uh4bA,ub4FtoudtWxWyzS2P",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_8"":{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",4,0,4,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""}",false,red_8,3542,4.5,red_8,7347,4.5,red_1,9488,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfd8aMEMXdhJJX5yL,5,"tSKk46qA3dGo2y9Gy,KnKMyGnfF3SGgRuee",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_5"":{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",5,0,5,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_7,1984,5,red_3,10067,7,red_10,5223,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jYj3mkvz6qtKvGDPu,6,"N44QXEe4HusLFede6,FgnbXYWeevsBTWi7H",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",6,0,6,3,"{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""},{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""}",false,red_12,10852,6,red_11,4031,9,red_10,2883,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pGtdD6eMiR6yYhcm5,7,"njjdAHL6P5tFiv6BE,TRqFJ8afJWG2Enn4h",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_3"":{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",7,0,7,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_2,1565,5.5,red_6,6866,12,red_2,3003,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aYAWsJf6MSZ973pJ7,8,"GXmRvxxdZRGvAbuis,kQJkANv9nuLcetBo7",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_5"":{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_6"":{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_11"":{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_12"":{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",8,0,8,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_5,1472,5,red_11,7223,6,red_4,2031,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWajw9nXxzcGSfZKt,9,"WzAmhLCZNyoq7Gwy3,ZMqMzXCXariRfJKkw",woWsWsG64iWMYwDus,2021-07-19T18:08:12Z,"{""red_10"":{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_9"":{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_1"":{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""qNNHZG4JCrXM4zqZq""},""red_4"":{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""YyHKq9EYbJumA3ANL""},""red_7"":{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""n9GBgFk6Hxa9zipd7""},""red_2"":{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""qNNHZG4JCrXM4zqZq""}}",9,0,9,3,"{""text"":null,""playerId"":""YyHKq9EYbJumA3ANL"",""type"":""alert""},{""text"":null,""playerId"":""qNNHZG4JCrXM4zqZq"",""type"":""alert""},{""text"":null,""playerId"":""n9GBgFk6Hxa9zipd7"",""type"":""alert""}",false,red_10,1428,9,red_4,5075,5.5,red_4,2715,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
