_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
dNXdwquyMtpih4mTz,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:27Z,custom,2021-07-27T18:12:16Z,,,,,,,,,,,,
jxedrgdKydEnbaBhQ,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:17Z,,,,,,,,,,,,
jTPwrbxxweYSwK5Cu,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:18Z,,,,,,,,,,,,
927hEFhenegNpNsAL,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:19Z,,,,,,,,,,,,
TntjcXtoGgsGFE2Yv,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:36Z,,,,,,,,,,,,
CRTm3ZghDEmdXfsXt,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:53Z,,,,,,,,,,,,
szhqwvimYitf5WjQP,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:53Z,,,,,,,,,,,,
YvTKK8mYmdWfcN2N7,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:28Z,custom,2021-07-27T18:12:58Z,,,,,,,,,,,,
nmTXFZGT4wW3vkKxe,,,,,Sorry,2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:29Z,custom,2021-07-27T18:13:07Z,,,,,,,,,,,,
C5Pjbh7WsNPTL2Zjj,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:29Z,custom,2021-07-27T18:13:20Z,,,,,,,,,,,,
WPQcqucyaTGu8AS8C,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:29Z,custom,2021-07-27T18:13:27Z,,,,,,,,,,,,
zeBxZg78kSF2fM5xk,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:29Z,custom,2021-07-27T18:13:48Z,,,,,,,,,,,,
YMS9PdQ3cJEQtxHEK,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:29Z,custom,2021-07-27T18:14:00Z,,,,,,,,,,,,
bCYz4EkpfBT2r3Ppg,,,,,"Sorry,ExitSurvey",2021-07-27T18:14:37Z,gameFull,,2021-07-27T18:14:30Z,custom,2021-07-27T18:14:21Z,,,,,,,,,,,,
dcJqwJm6ocXarHGBK,,2021-07-27T18:19:15Z,2021-07-27T18:19:15Z,1,ExitSurvey,2021-07-27T18:30:30Z,finished,,,,2021-07-27T18:14:53Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.527119333333333,white_11,1655,"white_2,white_4,white_7,white_12,white_8,white_11,white_1,white_3,white_10,white_9,white_5,white_6",0.12001200000000001,1,12,,
NJ8HW4GSmaxgEcnGu,,2021-07-27T18:15:58Z,2021-07-27T18:15:58Z,1,ExitSurvey,2021-07-27T18:26:31Z,finished,,,,2021-07-27T18:15:14Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.950395,white_5,5555,"white_10,white_12,white_2,white_8,white_7,white_3,white_5,white_9,white_6,white_11,white_1,white_4",0.050005,1,5,,
7HtytSJTDSBpTjaKH,,2021-07-27T18:17:32Z,2021-07-27T18:17:32Z,1,ExitSurvey,2021-07-27T18:26:31Z,finished,,,,2021-07-27T18:15:22Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.2505250000000006,white_1,2002,"white_9,white_7,white_2,white_6,white_8,white_3,white_1,white_5,white_12,white_11,white_10,white_4",0.12001200000000001,1,12,,
gKpY28vekLf5eSpXv,,2021-07-27T18:16:50Z,2021-07-27T18:16:50Z,1,ExitSurvey,2021-07-27T18:26:31Z,finished,,,,2021-07-27T18:15:23Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.480448000000002,white_10,2156,"white_5,white_1,white_6,white_12,white_11,white_2,white_4,white_10,white_3,white_9,white_8,white_7",0.110011,1,11,,
ssKD7MAzdrtv5fFGH,,2021-07-27T18:20:53Z,2021-07-27T18:20:53Z,1,ExitSurvey,2021-07-27T18:30:46Z,finished,,,,2021-07-27T18:15:41Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.278761166666668,yellow_3,6606,"yellow_8,yellow_2,yellow_3,yellow_6,yellow_7,yellow_11,yellow_10,yellow_9,yellow_5,yellow_1,yellow_4,yellow_12",0.03667033333333333,3,3.6666666666666665,,
ACvXWPDuG8unQyFkQ,,2021-07-27T18:17:39Z,2021-07-27T18:17:39Z,1,ExitSurvey,2021-07-27T18:27:34Z,finished,,,,2021-07-27T18:15:53Z,Repi,/avatars/jdenticon/Samuel,#8138A8,3.6353635000000004,purple_11,6359,"purple_10,purple_12,purple_8,purple_4,purple_1,purple_9,purple_3,purple_7,purple_2,purple_5,purple_6,purple_11",0.0550055,2,5.5,,
ivKvXZcgekvQxemQc,,,,,,2021-07-27T18:39:13Z,cancelled,adminCancelled,2021-07-27T18:40:57Z,custom,2021-07-27T18:16:05Z,,,,,,,,,,,,
cyKCepXszBZDraTkn,,2021-07-27T18:19:43Z,2021-07-27T18:19:43Z,1,ExitSurvey,2021-07-27T18:30:30Z,finished,,,,2021-07-27T18:16:07Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.947061333333335,white_12,3326,"white_5,white_4,white_8,white_6,white_11,white_2,white_9,white_7,white_12,white_3,white_1,white_10",0.110011,1,11,,
XNg2M7hMBBf8C5Da9,,2021-07-27T18:19:10Z,2021-07-27T18:19:10Z,1,ExitSurvey,2021-07-27T18:27:34Z,finished,,,,2021-07-27T18:16:17Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.930493,purple_2,2203,"purple_12,purple_6,purple_9,purple_8,purple_3,purple_11,purple_1,purple_7,purple_5,purple_4,purple_2,purple_10",0.12001200000000001,1,12,,
FeRinagbznWpNiqxj,,2021-07-27T18:20:41Z,2021-07-27T18:20:41Z,1,ExitSurvey,2021-07-27T18:30:30Z,finished,,,,2021-07-27T18:16:18Z,Repi,/avatars/jdenticon/Samuel,#8138A8,3.547021333333333,white_6,3416,"white_1,white_3,white_6,white_2,white_7,white_11,white_5,white_8,white_4,white_9,white_10,white_12",0.10001,1,10,,
3gwzGNe8M9GMt7epn,,2021-07-27T18:27:05Z,2021-07-27T18:27:05Z,1,ExitSurvey,2021-07-27T18:37:49Z,finished,,,,2021-07-27T18:16:34Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.0455045,white_11,5455,"white_9,white_7,white_5,white_8,white_10,white_11,white_12,white_2,white_1,white_6,white_4,white_3",0.12001200000000001,1,12,,
AGfvxRLPSPqWmCrHm,,2021-07-27T18:18:27Z,2021-07-27T18:18:27Z,1,ExitSurvey,2021-07-27T18:27:34Z,finished,,,,2021-07-27T18:16:38Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.6253625000000014,purple_11,217,"purple_6,purple_9,purple_1,purple_3,purple_5,purple_10,purple_2,purple_8,purple_11,purple_7,purple_12,purple_4",0.0550055,2,5.5,,
QGAj2LgJHqkpa4fdu,,2021-07-27T18:26:17Z,2021-07-27T18:26:17Z,1,ExitSurvey,2021-07-27T18:37:49Z,finished,,,,2021-07-27T18:17:24Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,3.9103909999999984,white_10,4594,"white_5,white_4,white_2,white_10,white_11,white_1,white_3,white_8,white_6,white_12,white_7,white_9",0.09000899999999999,1,9,,
FF7yDoD2WztvWBJXR,,2021-07-27T18:22:01Z,2021-07-27T18:22:01Z,1,ExitSurvey,2021-07-27T18:30:46Z,finished,,,,2021-07-27T18:17:39Z,Repi,/avatars/jdenticon/Samuel,#8138A8,3.893722666666667,yellow_3,72845,"yellow_2,yellow_10,yellow_12,yellow_11,yellow_5,yellow_4,yellow_7,yellow_6,yellow_3,yellow_9,yellow_8,yellow_1",0.03667033333333333,3,3.6666666666666665,,
mnCtNTkwCbKKBgDyK,,2021-07-27T18:30:22Z,2021-07-27T18:30:22Z,1,ExitSurvey,2021-07-27T18:37:50Z,finished,,,,2021-07-27T18:17:52Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.662132833333334,purple_10,2662,"purple_9,purple_12,purple_11,purple_2,purple_4,purple_1,purple_10,purple_8,purple_7,purple_5,purple_6,purple_3",0.12001200000000001,1,12,,
JJQQSQYsqpD2D87Pa,,2021-07-27T18:22:26Z,2021-07-27T18:22:26Z,1,ExitSurvey,2021-07-27T18:33:27Z,finished,,,,2021-07-27T18:17:53Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.015501500000001,white_7,-182,"white_4,white_11,white_6,white_7,white_1,white_2,white_3,white_10,white_8,white_5,white_12,white_9",0.12001200000000001,1,12,,
X23NKx97hSCWAR5Cv,,2021-07-27T18:21:41Z,2021-07-27T18:21:41Z,1,ExitSurvey,2021-07-27T18:30:46Z,finished,,,,2021-07-27T18:18:17Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.448778166666667,yellow_3,3996,"yellow_9,yellow_3,yellow_8,yellow_5,yellow_6,yellow_12,yellow_2,yellow_1,yellow_7,yellow_10,yellow_4,yellow_11",0.03667033333333333,3,3.6666666666666665,,
yN3gRNCeMgnTRHL9E,,,,,,2021-07-27T18:39:13Z,gameFull,,2021-07-27T18:41:18Z,custom,2021-07-27T18:18:31Z,,,,,,,,,,,,
3QDnigJq3aDDNdvJM,,2021-07-27T18:24:38Z,2021-07-27T18:24:38Z,1,ExitSurvey,2021-07-27T18:33:27Z,finished,,,,2021-07-27T18:21:09Z,Repi,/avatars/jdenticon/Samuel,#8138A8,4.450445000000001,white_9,2023,"white_2,white_8,white_3,white_5,white_6,white_1,white_12,white_9,white_11,white_4,white_10,white_7",0.110011,1,11,,
5uvD5i3LMJuJoEz85,,2021-07-27T18:28:18Z,2021-07-27T18:28:18Z,1,ExitSurvey,2021-07-27T18:38:53Z,finished,,,,2021-07-27T18:21:13Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.355335499999999,white_3,1627,"white_3,white_6,white_5,white_4,white_12,white_11,white_8,white_7,white_10,white_2,white_1,white_9",0.060006000000000004,2,6,,
BL94px5JToAxFxBsF,,2021-07-27T18:25:55Z,2021-07-27T18:25:55Z,1,ExitSurvey,2021-07-27T18:37:49Z,finished,,,,2021-07-27T18:21:13Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.415441500000003,white_8,4913,"white_7,white_5,white_12,white_6,white_8,white_2,white_1,white_4,white_10,white_9,white_11,white_3",0.110011,1,11,,
