_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time
2SDd4jdTSzbmGhjjC,jxedrgdKydEnbaBhQ,,2021-07-27T18:15:06Z,22,female,English,true,,,,,,someCollege,yes,yes,neutral,n/a,n/a,n/a
4nafAtMdiCpjsLZwW,jTPwrbxxweYSwK5Cu,,2021-07-27T18:15:10Z,21,female,English,true,true,,,,,someCollege,yes,no,neutral,,,
tinKXtTXdF8Qrqj5Q,dNXdwquyMtpih4mTz,,2021-07-27T18:15:11Z,25,m,english,,,true,,,,bachelor,yes,yes,stronglyAgree,yes,no,yes
RuExrAu2bR4TsauaR,YvTKK8mYmdWfcN2N7,,2021-07-27T18:15:31Z,28,male,english,true,,,,,,master,yes,yes,neutral,didnt get to play,didnt get to play,didnt get to play
QjtDt3MWaPpqoAFz9,YMS9PdQ3cJEQtxHEK,,2021-07-27T18:15:31Z,27,male,English,true,,,,,,bachelor,yes,yes,neutral,didnt get to play,didn't get to play,didn't get to play
biX3R3QrYTt9oKS3u,TntjcXtoGgsGFE2Yv,,2021-07-27T18:15:32Z,23,Female,English,true,,,,,,bachelor,yes,no,neutral,I did not get to play the game and was sent directly to the survey,I did not get to play the game and was sent directly to the survey,I did not get to play the game and was sent directly to the survey
7qswb88MDKCaigG4T,zeBxZg78kSF2fM5xk,,2021-07-27T18:15:43Z,32,female,english,true,,,,,,bachelor,yes,,,,"I wasn't able to play because the spots were filled, so I was sent to this page.",
NHBBg4RyHoBWg8Jgn,bCYz4EkpfBT2r3Ppg,,2021-07-27T18:15:45Z,38,female,english,true,,,,,,master,yes,,,,"did get to play the game, timed out too fast",
YwDP6uwMTvMikdhu2,CRTm3ZghDEmdXfsXt,,2021-07-27T18:15:50Z,24,F,English,true,,,,,,someCollege,yes,no,neutral,N/A,did not get to participate,N/A
JDZDvQFHKdaPgMDe8,WPQcqucyaTGu8AS8C,,2021-07-27T18:16:04Z,20,Female,English,true,,,,,,highSchool,yes,yes,neutral,I did not get to play,Couldn't participate,I didn't have enough time to read instructions
a4vJiitrqmmzwuvEu,szhqwvimYitf5WjQP,,2021-07-27T18:16:08Z,38,male,english,true,,,,,,master,yes,yes,agree,yeahi think it was fair,,i think so
eS6ix4ToyR8bLvPkT,927hEFhenegNpNsAL,,2021-07-27T18:16:13Z,22,Female,English,true,,,,,,someCollege,yes,yes,neutral,I didn't get to do the activity so base pay is certainly fair.,no,didn't participate
gEg9FmKkwXbqF5XBP,C5Pjbh7WsNPTL2Zjj,,2021-07-27T18:17:15Z,19,male ,English ,true,,,,,,bachelor,yes,yes,agree,yes,it timed out ,yes
hn2tuDpAd6ihmkfC2,7HtytSJTDSBpTjaKH,bfkwKFJHE44AkQaWn,2021-07-27T18:27:03Z,25,male,english,,,true,,,,bachelor,yes,no,agree,Yes,No,Plenty
kEdz4xsywcCSzbirr,gKpY28vekLf5eSpXv,bfkwKFJHE44AkQaWn,2021-07-27T18:27:03Z,21,female,English,true,true,,,,,someCollege,yes,no,stronglyAgree,yes,no problems,yes
KH5sq38fFnsPMz7KL,NJ8HW4GSmaxgEcnGu,bfkwKFJHE44AkQaWn,2021-07-27T18:27:15Z,22,female,English,true,,,,,,someCollege,yes,no,neutral,No I was forced to always click the lowest or we won't make any money,n/a,more than enough. only needed 10 seconds
hS368pGcdcdKSKt6d,AGfvxRLPSPqWmCrHm,i3n3urioeG2JtJNsP,2021-07-27T18:28:17Z,22,Female,English,true,,,,,,someCollege,yes,no,agree,Yes it was fair,nope,yes there was plenty of time
