,overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,train_overall_choice_rank,train_overall_collision_rate,train_overall_deference_rate,train_overall_ex_loss,train_overall_loss,train_overall_reward,train_overall_reward_initial,train_overall_reward_max,train_overall_reward_no_collision,train_overall_reward_normed,train_overall_rf_loss,train_overall_unknown_choice_rate,train_agent_0_choice_rank,train_agent_0_collision_rate,train_agent_0_deference_rate,train_agent_0_reward,train_agent_0_reward_initial,train_agent_0_reward_max,train_agent_0_reward_no_collision,train_agent_0_reward_normed,train_agent_0_unknown_choice_rate,train_agent_1_choice_rank,train_agent_1_collision_rate,train_agent_1_deference_rate,train_agent_1_reward,train_agent_1_reward_initial,train_agent_1_reward_no_collision,train_agent_1_reward_normed,train_agent_1_unknown_choice_rate,train_agent_2_choice_rank,train_agent_2_collision_rate,train_agent_2_deference_rate,train_agent_2_reward,train_agent_2_reward_initial,train_agent_2_reward_no_collision,train_agent_2_reward_normed,train_agent_2_unknown_choice_rate
ind_nocomm_2,0.825312376,0.087604158,0.44302094,-8.024057388,-8.024057388,8.021250725,8.575833321,9.162395477,8.575833321,0.875256181,0.42617929,0.056770846,1.701249957,0.074999996,0.938750029,5.78125,6.160937309,9.162395477,6.160937309,0.629950106,0.067187496,0.041249998,0.079999998,0.039687499,9.728124619,10.30156231,10.30156231,1.064581156,0,0.733437479,0.107812494,0.350625008,8.554374695,9.26499939,9.26499939,0.931237161,0.103124999
ind_nocomm_3,0.837187707,0.113958329,0.458645821,-7.780247211,-7.780247211,7.785830975,8.519165993,9.155936241,8.519165993,0.851786912,0.380880207,0.050416656,1.680312514,0.094374999,0.949687481,5.612187386,6.083124638,9.155936241,6.083124638,0.613345921,0.048124999,0.789375007,0.144999996,0.387187511,8.217812538,9.193124771,9.193124771,0.897631049,0.102812499,0.041874997,0.102499999,0.0390625,9.527500153,10.28125,10.28125,1.04438448,0.0003125
ind_nocomm_4,0.842187583,0.092916645,0.465729177,-7.963257313,-7.963257313,7.965208054,8.524375916,9.175416946,8.524375916,0.867804706,0.387825221,0.049166664,0.812187493,0.111874998,0.407812506,8.515312195,9.211874962,9.175416946,9.211874962,0.926497579,0.104374997,0.041249998,0.070937499,0.039687499,9.732811928,10.21999931,10.21999931,1.061668396,0.0003125,1.673124909,0.095937498,0.949687481,5.647500038,6.141249657,6.141249657,0.615247309,0.0428125
ind_nocomm_5,0.824999929,0.106354147,0.459791601,-7.964150429,-7.964150429,7.941980839,8.57156086,9.171767235,8.57156086,0.865387321,0.363939911,0.048125003,0.793124974,0.119062498,0.382499993,8.522500038,9.253125191,9.171767235,9.253125191,0.926487625,0.1090625,1.640312433,0.108750001,0.956562519,5.684999943,6.233749866,6.233749866,0.619423032,0.0353125,0.041562498,0.091249995,0.040312499,9.618436813,10.22781181,10.22781181,1.050251961,0
ind_nocomm_6,0.92729187,0.125625014,0.528541744,-7.232101917,-7.232101917,7.252709866,8.018853188,9.173853874,8.018853188,0.79270184,0.507676423,0.025416667,0.866562486,0.174999997,0.59375,7.138124943,8.217812538,9.173853874,8.217812538,0.779957712,0.01125,0.03875,0.109375,0.038125001,9.4375,10.2543745,10.2543745,1.031552434,0,1.876562476,0.092500001,0.953750014,5.182499886,5.584374905,5.584374905,0.566595256,0.064999998
ind_nocomm_7,0.792604268,0.098124988,0.450104147,-7.775153637,-7.775153637,7.779270649,8.370727539,9.167082787,8.370727539,0.849187374,0.370017499,0.029583335,1.60718751,0.083124995,0.885937512,5.855000019,6.228437424,9.167082787,6.228437424,0.638216555,0.068750001,0.731562495,0.129062504,0.426874995,7.851249695,8.652187347,8.652187347,0.855770528,0.0196875,0.0390625,0.082187496,0.037500001,9.631562233,10.23156261,10.23156261,1.05357492,0.0003125
ind_nocomm_8,0.847499967,0.100520827,0.461458385,-7.911280155,-7.911280155,7.920834064,8.540417671,9.169583321,8.540417671,0.864079595,0.433668554,0.055520829,0.040312499,0.088124998,0.0390625,9.622812271,10.23531246,9.169583321,10.23531246,1.051439047,0,1.698437452,0.094374999,0.949062526,5.685625076,6.164374828,6.164374828,0.61938256,0.060312498,0.803749979,0.119062498,0.39625001,8.454062462,9.221562386,9.221562386,0.921416462,0.106249996
ind_nocomm_9,0.597395897,0.201562479,0.385729134,-7.361038685,-7.361038685,7.34072876,8.893436432,9.162395477,8.893436432,0.804216981,0.438386232,0.018854162,0.297499985,0.254999995,0.191249996,7.691562176,9.755937576,9.162395477,9.755937576,0.84312892,0.0271875,1.450312495,0.108437501,0.921875,6.084374905,6.680624962,6.680624962,0.661700606,0.029375,0.044374999,0.241249993,0.044062499,8.246250153,10.24374962,10.24374962,0.907820642,0
ind_nocomm_10,0.835937619,0.128229171,0.508333385,-7.510110378,-7.510110378,7.494478703,8.304480553,9.181143761,8.304480553,0.817886591,0.406086534,0.018749995,1.745625019,0.104687497,0.930625022,5.429374695,5.959062576,9.181143761,5.959062576,0.592823803,0.055312499,0.0465625,0.119687498,0.043749999,9.405312538,10.2699995,10.2699995,1.025210977,0.000625,0.715624988,0.160312504,0.550625026,7.648749828,8.684374809,8.684374809,0.835624397,0.0003125
joint_contcomm_1,0.691250145,0.049062498,0.351354092,-8.340660095,-8.340660095,8.328436852,8.660311699,9.164061546,8.660311699,0.909355044,0.290360302,0.037291661,1.341874957,0.047499999,0.662187517,8.328437805,7.067187309,9.164061546,8.660311699,0.909354985,0.076562501,0.69874996,0.056249999,0.358749986,8.328437805,8.625937462,8.660311699,0.909354985,0.0353125,0.033124998,0.0434375,0.033124998,8.328437805,10.28781223,8.660311699,0.909354985,0
joint_contcomm_2,0.773020923,0.067291655,0.443749994,-8.280584335,-8.280584335,8.286771774,8.669270515,9.155312538,8.669270515,0.905469596,0.541657448,0.047812495,0.033437498,0.020937499,0.033437502,8.286771774,10.26718712,9.155312538,8.669270515,0.905469477,0,1.359062433,0.095624998,0.684374988,8.286771774,7.719687462,8.669270515,0.905469477,0.1328125,0.926562488,0.085312501,0.613437474,8.286771774,8.020936966,8.669270515,0.905469477,0.010625
joint_contcomm_3,0.693541527,0.057291668,0.437916607,-8.304761887,-8.304761887,8.311142921,8.646353722,9.177916527,8.646353722,0.906498671,0.406122625,0.026666662,0.479374975,0.073124997,0.415625006,8.311142921,9.112187386,9.177916527,8.646353722,0.906498671,0,1.567812443,0.070937499,0.864687502,8.311142921,6.549687386,8.646353722,0.906498671,0.079999998,0.033437498,0.0278125,0.033437502,8.311142921,10.27718735,8.646353722,0.906498671,0
joint_contcomm_4,0.740937233,0.079166673,0.362083346,-7.960827351,-7.960827351,7.954268456,8.558020592,9.145521164,8.558020592,0.872140408,0.44030714,0.045312494,0.739374995,0.089999996,0.354999989,7.954268456,8.601874352,9.145521164,8.558020592,0.872140408,0.046250001,0.034375001,0.083749995,0.034375001,7.954268456,10.24062443,8.558020592,0.872140408,0,1.449062467,0.063749999,0.696874976,7.954268456,6.831562519,8.558020592,0.872140408,0.089687496
joint_contcomm_5,0.72645849,0.041979164,0.363958359,-8.323405266,-8.323405266,8.323541641,8.570833206,9.153956413,8.570833206,0.909685969,0.508478344,0.03833333,0.84937501,0.041562498,0.399062514,8.323541641,8.317187309,9.153956413,8.570833206,0.909685969,0.047812499,1.292187452,0.055624999,0.654999971,8.323541641,7.109999657,8.570833206,0.909685969,0.067187496,0.037812497,0.028749999,0.037812501,8.323541641,10.28531265,8.570833206,0.909685969,0
joint_contcomm_6,0.706146002,0.053854164,0.35604161,-8.335049629,-8.335049629,8.324790955,8.693543434,9.175415039,8.693543434,0.908037365,0.505718529,0.042604171,1.347812414,0.05875,0.666562498,8.324790955,7.194062233,9.175415039,8.693543434,0.908037365,0.086562499,0.032812499,0.047499999,0.032187499,8.324790955,10.2543745,8.693543434,0.908037365,0,0.73781246,0.055312499,0.369374991,8.324790955,8.63218689,8.693543434,0.908037365,0.041249998
joint_contcomm_7,0.710208237,0.041354164,0.357187539,-8.371616364,-8.371616364,8.373959541,8.629376411,9.166460037,8.629376411,0.913903415,0.448644668,0.039375007,0.731562495,0.046250001,0.361562491,8.373959541,8.623436928,9.166460037,8.629376411,0.913903415,0.041562498,1.367812514,0.048437499,0.678749979,8.373959541,7.003749847,8.629376411,0.913903415,0.076562501,0.03125,0.029375,0.03125,8.373959541,10.26093769,8.629376411,0.913903415,0
joint_contcomm_8,0.705624998,0.034583334,0.350312501,-8.44881916,-8.44881916,8.441250801,8.668335915,9.156979561,8.668335915,0.921772718,0.367093951,0.042500004,0.030312499,0.025937499,0.030312501,8.441250801,10.27468681,9.156979561,8.668335915,0.921772718,0,1.313437462,0.046875,0.634062529,8.441250801,7.179062366,8.668335915,0.921772718,0.084375001,0.773124993,0.030937498,0.386562496,8.441250801,8.551249504,8.668335915,0.921772718,0.043125
joint_contcomm_9,0.634687483,0.061979149,0.414687455,-8.336110115,-8.336110115,8.351250648,8.733332634,9.161770821,8.733333588,0.911978304,0.425123066,0.017499998,0.034375001,0.032812499,0.034375001,8.351250648,10.26000023,9.161770821,8.733332634,0.911978304,0,0.444999993,0.069062501,0.379062504,8.351250648,9.154062271,8.733332634,0.911978304,0.0015625,1.424687505,0.084062502,0.830624998,8.351250648,6.785937309,8.733332634,0.911978304,0.0509375
joint_contcomm_10,0.695520759,0.038020827,0.35489589,-8.4463377,-8.4463377,8.455417633,8.694375038,9.18864727,8.694375038,0.920115113,0.428232878,0.036979172,0.035625,0.026249999,0.035625,8.455417633,10.3168745,9.18864727,8.694375038,0.920115113,0,0.750312507,0.0346875,0.379062504,8.455417633,8.556562424,8.694375038,0.920115113,0.039687499,1.300624967,0.053124998,0.649999976,8.455417633,7.209687233,8.694375038,0.920115113,0.071249999
joint_nocomm_1,0.850208283,0.099270828,0.460416645,-7.862159252,-7.862159252,7.885624409,8.511668205,9.170938492,8.511668205,0.860793591,0.661382258,0.053749997,1.74000001,0.085625,0.946874976,7.885624886,6.019374847,9.170938492,8.511668205,0.860793591,0.059999999,0.113749996,0.098124996,0.060625002,7.885624886,10.20812511,8.511668205,0.860793591,0.01375,0.696874976,0.114062496,0.373750001,7.885624886,9.307499886,8.511668205,0.860793591,0.087499999
joint_nocomm_2,0.820729017,0.112291686,0.445208371,-7.82627058,-7.82627058,7.818647861,8.55281353,9.16114521,8.55281353,0.8532722,0.561766923,0.052187499,0.044062499,0.114999995,0.041562501,7.818647861,10.2734375,9.16114521,8.55281353,0.8532722,0.0003125,1.731249928,0.083437495,0.948125005,7.818647861,6.056562424,8.55281353,0.8532722,0.069687501,0.686874986,0.138437495,0.345937491,7.818647861,9.328436852,8.55281353,0.8532722,0.086562499
joint_nocomm_3,4.489583492,0,1,-6.397440434,-6.397440434,6.355000019,6.355000019,9.163855553,6.355000019,0.69187361,4.304853916,1,4.487187386,0,1,6.355000019,6.474687576,9.163855553,6.355000019,0.69187361,1,4.495625019,0,1,6.355000019,6.322499752,6.355000019,0.69187361,1,4.485937595,0,1,6.355000019,6.267812252,6.355000019,0.69187361,1
joint_nocomm_4,0.867916644,0.122499988,0.460729241,-7.789220333,-7.789220333,7.768331051,8.525416374,9.151353836,8.525416374,0.848951221,0.55295223,0.063541658,0.923124969,0.146562502,0.396874994,7.768330574,9.080312729,9.151353836,8.525416374,0.848951221,0.141562492,1.636874914,0.110937499,0.943437517,7.768330574,6.233124733,8.525416374,0.848951221,0.048749998,0.043749999,0.109999999,0.041875001,7.768330574,10.26281261,8.525416374,0.848951221,0.0003125
joint_nocomm_5,0.765416563,0.11354167,0.441666693,-7.929906845,-7.929906845,7.942082882,8.683852196,9.16156292,8.683853149,0.866894424,0.545635819,0.046250001,1.539687514,0.094687499,0.934062481,7.942082882,6.461874962,9.16156292,8.683852196,0.866894424,0.041874997,0.065312497,0.125624999,0.0584375,7.942082882,10.22562504,8.683852196,0.866894424,0.0003125,0.691249967,0.120312497,0.332500011,7.942082882,9.364062309,8.683852196,0.866894424,0.096562497
joint_nocomm_6,0.67958349,0.190624982,0.410208255,-7.38950491,-7.38950491,7.37375021,8.760624886,9.1647892,8.760624886,0.805450797,0.534531057,0.026458336,1.558749914,0.121562496,0.946562529,7.37375021,6.422812462,9.1647892,8.760624886,0.805450797,0.03125,0.440624982,0.235624999,0.246250004,7.37375021,9.579687119,8.760624886,0.805450797,0.047812499,0.039375,0.214687496,0.037812501,7.37375021,10.27937508,8.760624886,0.805450797,0.0003125
joint_nocomm_7,4.498958588,0,1,-6.410573006,-6.410573006,6.450624466,6.450624466,9.181667328,6.450624466,0.701273918,4.139268875,0.999791682,4.499687195,0,1,6.450624466,6.526562214,9.181667328,6.450624466,0.701273918,1,4.5,0,1,6.450624466,6.424375057,6.450624466,0.701273918,0.999374986,4.497187614,0,1,6.450624466,6.400937557,6.450624466,0.701273918,1
joint_nocomm_8,0.848541796,0.117083356,0.47885415,-7.700021744,-7.700021744,7.699167252,8.441457748,9.16166687,8.441457748,0.842836499,0.516676724,0.039583337,1.688437462,0.099999994,0.953125,7.699167252,6.027499676,9.16166687,8.441457748,0.842836499,0.031874999,0.816874981,0.142812491,0.443749994,7.699167252,9.042499542,8.441457748,0.842836499,0.086874999,0.040312499,0.108437501,0.039687499,7.699167252,10.2543745,8.441457748,0.842836499,0
joint_nocomm_9,0.839479327,0.095625006,0.463541716,-7.7967906,-7.7967906,7.805936337,8.380727768,9.142292023,8.380728722,0.85473907,0.655805171,0.041354164,1.704999924,0.087812498,0.943750024,7.805936337,5.970312595,9.142292023,8.380727768,0.85473907,0.049062498,0.039999999,0.082499996,0.03875,7.805936337,10.25093746,8.380727768,0.85473907,0.0003125,0.7734375,0.116562501,0.408125013,7.805936337,8.920937538,8.380727768,0.85473907,0.074687496
joint_nocomm_10,0.765729249,0.103333339,0.453749925,-7.885420799,-7.885420799,7.886667252,8.500418663,9.157708168,8.500418663,0.861648142,0.545797288,0.022812493,1.656875014,0.105312496,0.927187502,7.886667252,6.188124657,9.157708168,8.500418663,0.861648262,0.040937498,0.041562498,0.078749999,0.039687499,7.886667252,10.24687481,8.500418663,0.861648262,0.0003125,0.598749995,0.125937492,0.394374996,7.886667252,9.066249847,8.500418663,0.861648262,0.0271875
