_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
K2Ktemvzg8PKLqDX9,0,selection,Selection,2021-07-20T16:58:34Z,180,hE4t5fky4AidN3np3,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-20T16:58:34.238Z""}"
pMT5ykTFc5HDuAQan,1,feedback,Feedback,2021-07-20T16:59:35Z,5,hE4t5fky4AidN3np3,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-20T16:59:35.736Z""}"
kwrbsLpPhkQmvCDrW,2,selection,Selection,2021-07-20T16:59:41Z,180,t6PrLYXuzKYcbQvCR,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-20T16:59:41.239Z""}"
d6yFmTsPaCxSu9ArP,3,feedback,Feedback,2021-07-20T17:00:30Z,5,t6PrLYXuzKYcbQvCR,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-20T17:00:30.631Z""}"
yjW7RBeTFLsCaYEkt,4,selection,Selection,2021-07-20T17:00:36Z,180,LaEPSzHHswXEv2Z59,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-20T17:00:36.195Z""}"
2ChSLeMFWFjMwk8Yh,5,feedback,Feedback,2021-07-20T17:02:01Z,5,LaEPSzHHswXEv2Z59,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-20T17:02:01.518Z""}"
rfNysNwQSWCPDBdXB,6,selection,Selection,2021-07-20T17:02:07Z,180,cq8sf69LkvuwmiMPs,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-20T17:02:07.241Z""}"
zLi6fqLLxEKdXWNBG,7,feedback,Feedback,2021-07-20T17:02:37Z,5,cq8sf69LkvuwmiMPs,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-20T17:02:37.164Z""}"
qGZW8dDQRxjFL66Z4,8,selection,Selection,2021-07-20T17:02:43Z,180,7QieCnJLbAu7e5qKA,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-20T17:02:43.245Z""}"
9AsabvQ4QXbjerF5T,9,feedback,Feedback,2021-07-20T17:03:08Z,5,7QieCnJLbAu7e5qKA,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-20T17:03:07.961Z""}"
bC7pDzFYRYnpwoFGX,10,selection,Selection,2021-07-20T17:03:14Z,180,5JtZXisMFSDa3KQLa,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-20T17:03:14.255Z""}"
dL3NkXLQJuQN4Ntkn,11,feedback,Feedback,2021-07-20T17:03:47Z,5,5JtZXisMFSDa3KQLa,KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-20T17:03:47.114Z""}"
