roundId,index,stageIds,gameId,createdAt,repNum,blockNum,trialNum,numPlayers,submitted,playerId,playerResponse,time_sec,playerUtility
88bXdSqQrsvpEz6tE,7,"qBCcxoHoyQEuHWXt5,qQZfAY9LnzQb6TtYd",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,1,7,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_11,2.676,2
P8nAThouQrWJts9Lj,8,"mS8muZrbxAZEnKtYr,smkJ3gm75g28YGMur",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,1,8,3,FALSE,2R66mXvMN2HTSXExx,yellow_7,0.085,4
P8nAThouQrWJts9Lj,8,"mS8muZrbxAZEnKtYr,smkJ3gm75g28YGMur",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,1,8,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_7,1.903,4
P8nAThouQrWJts9Lj,8,"mS8muZrbxAZEnKtYr,smkJ3gm75g28YGMur",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,1,8,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_11,4.715,4
eqdsWQpkpvqT4gXin,9,"jFuKLBytHgidcBefv,D4dqgjWfYS3dCzDwT",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,1,9,3,FALSE,2R66mXvMN2HTSXExx,yellow_9,2.565,5
eqdsWQpkpvqT4gXin,9,"jFuKLBytHgidcBefv,D4dqgjWfYS3dCzDwT",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,1,9,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_9,1.954,5
eqdsWQpkpvqT4gXin,9,"jFuKLBytHgidcBefv,D4dqgjWfYS3dCzDwT",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,1,9,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_10,3.749,5
692ZsCtXAmMRuyybP,10,"WqBmZnCSXxCPcXbP4,weEhEPXurGGELx9Lt",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,1,10,3,FALSE,2R66mXvMN2HTSXExx,yellow_5,1.254,8.66666666666667
692ZsCtXAmMRuyybP,10,"WqBmZnCSXxCPcXbP4,weEhEPXurGGELx9Lt",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,1,10,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_2,1.574,8.66666666666667
692ZsCtXAmMRuyybP,10,"WqBmZnCSXxCPcXbP4,weEhEPXurGGELx9Lt",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,1,10,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_7,3.484,8.66666666666667
